"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"1104","Didelphis aurita",1149.875,6.2,2,4,178,14,100,"Didelphis_aurita","2439928"
"1105","Didelphis imperfecta",1030.47,6.9,1.5,1.641666667,315.68,12,116.5,"Didelphis_imperfecta","2439929"
"1106","Didelphis marsupialis",1149.875,6.2,2,4,178,14,100,"Didelphis_marsupialis","2439920"
"1107","Didelphis pernigra",1030.47,6.9,1.5,1.641666667,315.68,12,116.5,"Didelphis_pernigra","2439919"
"1108","Didelphis virginiana",1414.5,6.645,2,4.179166667,184,12.345,100,"Didelphis_virginiana","2439923"
"1109","Dinaromys bogdanovi",56,2.5,1.5,-999,-999,30.423,-999,"Dinaromys_bogdanovi","2438502"
"1110","Dinomys branickii",12500,1.97,-999,11.0625,-999,253,15.109,"Dinomys_branickii","2437612"
"1111","Diphylla ecaudata",28.11,1,1.5,8.075,-999,213.08,-999,"Diphylla_ecaudata","2433173"
"1112","Diplogale hosei",5452.04,-999,-999,0.166666667,-999,-999,-999,"Diplogale_hosei","2434672"
"1113","Diplomesodon pulchellum",10.5,4.995,-999,-999,-999,-999,-999,"Diplomesodon_pulchellum","2435917"
"1114","Diplomys caniceps",394.49,-999,-999,-999,-999,-999,-999,"Diplomys_caniceps","2439804"
"1115","Diplomys labilis",282.17,1.18,-999,-999,-999,55.72,-999,"Diplomys_labilis","2439803"
"1116","Diplomys rufodorsalis",144.8,-999,-999,-999,-999,-999,-999,"Diplomys_rufodorsalis","2439802"
"1117","Dipodillus campestris",27.99,4.34,-999,7.308333333,-999,-999,-999,"Dipodillus_campestris","4264986"
"1118","Dipodillus dasyurus",27.5,4.14,-999,1.75,-999,25.28312,-999,"Dipodillus_dasyurus","4264993"
"1119","Dipodillus simoni",24.4,4.68,3.13,1.875,95.07708,25.55312,26.6315,"Dipodillus_simoni","4264983"
"1120","Dipodillus somalicus",28.4,-999,-999,7.308333333,-999,-999,-999,"Dipodillus_somalicus","4264984"
"1121","Dipodillus stigmonyx",28.4,-999,-999,7.308333333,-999,-999,-999,"Dipodillus_stigmonyx","4264990"
"1122","Dipodomys agilis",60.57,2.575,1.5,1.416666667,210,-999,-999,"Dipodomys_agilis","2439534"
"1123","Dipodomys californicus",65,3.1,2,8.233333333,53.13,31,31,"Dipodomys_californicus","2439546"
"1124","Dipodomys compactus",49.25,3,2,9.816666667,78.82924,29.91082,34.19634,"Dipodomys_compactus","2439520"
"1125","Dipodomys deserti",106.75,3.29,2.5,8.6,50.88,30.5,20.39212,"Dipodomys_deserti","2439535"
"1126","Dipodomys elator",105.82,2.91,-999,-999,-999,-999,-999,"Dipodomys_elator","2439549"
"1127","Dipodomys gravipes",83.96,-999,-999,-999,-999,-999,-999,"Dipodomys_gravipes","2439544"
"1128","Dipodomys heermanni",64.15,3.11,2,8.233333333,53.13,31,31,"Dipodomys_heermanni","2439536"
"1129","Dipodomys ingens",122.805,3.76,2,5.491666667,-999,-999,32.56652,"Dipodomys_ingens","2439550"
"1130","Dipodomys merriami",37.805,2.3,1.63,9.65,101.9606,27.8490625,20.40606,"Dipodomys_merriami","2439521"
"1131","Dipodomys microps",55.16,2.385,1,3.658333333,147.92,31.32172,21.9135,"Dipodomys_microps","2439510"
"1132","Dipodomys nelsoni",87.93,1.94,-999,-999,-999,-999,-999,"Dipodomys_nelsoni","2439545"
"1133","Dipodomys nitratoides",37.8,2.3,1.63,8.316666667,95.24,29.385,20.85,"Dipodomys_nitratoides","2439524"
"1134","Dipodomys ordii",49.6,3.15,2,9.816666667,78.82924,29.91082,34.19634,"Dipodomys_ordii","2439541"
"1135","Dipodomys panamintinus",56.58,3.5,1,4.533333333,94.35212,30.133125,27.89,"Dipodomys_panamintinus","2439513"
"1136","Dipodomys phillipsii",41,2.59,-999,6.733333333,-999,-999,-999,"Dipodomys_phillipsii","2439519"
"1137","Dipodomys spectabilis",124.61,2.65,2,12.64166667,310.33,23.5,24,"Dipodomys_spectabilis","2439531"
"1138","Dipodomys stephensi",66.495,2.62,1.75,2.083333333,-999,-999,20.12606,"Dipodomys_stephensi","2439542"
"1139","Dipodomys venustus",82,2,1.5,-999,-999,30.436,-999,"Dipodomys_venustus","2439514"
"1140","Dipus sagitta",89,3.435,2,0.833333333,83.699,27.75056,-999,"Dipus_sagitta","2439463"
"1141","Distoechurus pennatus",52.12,1.155,2,1.5,-999,-999,-999,"Distoechurus_pennatus","2440108"
"1142","Dobsonia anderseni",312.4,0.99,1,12.30416667,714.83,156.43,173.1,"Dobsonia_anderseni","4265728"
"1143","Dobsonia beauforti",165.35,0.99,1,-999,-999,-999,-999,"Dobsonia_beauforti","2432831"
"1144","Dobsonia chapmani",269.61,-999,-999,2.908333333,-999,-999,-999,"Dobsonia_chapmani","2432826"
"1145","Dobsonia crenulata",229.435,-999,-999,-999,-999,-999,-999,"Dobsonia_crenulata","4265729"
"1146","Dobsonia emersa",201.06,-999,-999,-999,-999,-999,-999,"Dobsonia_emersa","2432830"
"1147","Dobsonia exoleta",302.03,-999,-999,2.908333333,-999,-999,-999,"Dobsonia_exoleta","2432823"
"1148","Dobsonia inermis",152.6,0.99,2,-999,-999,-999,-999,"Dobsonia_inermis","2432829"
"1149","Dobsonia magna",417.15,0.995,1,12.30416667,734.99,156.43,166.2,"Dobsonia_magna","4265730"
"1150","Dobsonia minor",80.1,0.995,1.5,-999,-999,-999,-999,"Dobsonia_minor","2432825"
"1151","Dobsonia moluccensis",404.3,0.995,1,12.30416667,714.83,156.43,173.1,"Dobsonia_moluccensis","2432822"
"1152","Dobsonia pannietensis",358.35,0.99,1,12.30416667,714.83,156.43,173.1,"Dobsonia_pannietensis","2432828"
"1153","Dobsonia peronii",226.51,0.98,-999,-999,-999,-999,-999,"Dobsonia_peronii","7261753"
"1154","Dobsonia praedatrix",179.12,1,2,-999,-999,-999,-999,"Dobsonia_praedatrix","2432821"
"1155","Dobsonia viridis",240.66,-999,-999,-999,-999,-999,-999,"Dobsonia_viridis","2432827"
"1156","Dolichotis patagonum",12500,1.875,3.5,14.15416667,158,91,70,"Dolichotis_patagonum","2437619"
"1157","Dolichotis salinicola",1610.3,1.595,-999,4.491666667,-999,77.86026,-999,"Dolichotis_salinicola","2437618"
"1158","Dologale dybowskii",361.92,4,-999,-999,-999,-999,-999,"Dologale_dybowskii","2434115"
"1159","Dorcatragus megalotis",10918.12,1,-999,7.541666667,-999,-999,-999,"Dorcatragus_megalotis","2441197"
"1160","Dorcopsis atrata",2300,1.005,-999,8,517.3,-999,362.93,"Dorcopsis_atrata","2440144"
"1161","Dorcopsis hageni",5499.99,1.005,-999,-999,517.3,-999,304.99,"Dorcopsis_hageni","2440138"
"1162","Dorcopsis luctuosa",4254.78,1.005,1.52,13.89166667,481.875,-999,300.95,"Dorcopsis_luctuosa","2440145"
"1163","Dorcopsis muelleri",5000,1,1.52,12.39583333,481.875,-999,270,"Dorcopsis_muelleri","2440139"
"1164","Dorcopsulus macleayi",2988,1.2,-999,7.9,730.5,21,547.92,"Dorcopsulus_macleayi","2440204"
"1165","Dorcopsulus vanheurni",1890.36,1.18,-999,-999,-999,-999,-999,"Dorcopsulus_vanheurni","2440203"
"1166","Dremomys everetti",129.78,-999,-999,-999,-999,-999,-999,"Dremomys_everetti","2437277"
"1167","Dremomys gularis",200.32,-999,-999,5.491666667,-999,-999,-999,"Dremomys_gularis","4263959"
"1168","Dremomys lokriah",199.745,3.67,-999,7.091666667,-999,-999,-999,"Dremomys_lokriah","2437275"
"1169","Dremomys pernyi",198.63,4,-999,-999,-999,-999,-999,"Dremomys_pernyi","2437276"
"1170","Dremomys pyrrhomerus",200.32,-999,-999,5.491666667,-999,-999,-999,"Dremomys_pyrrhomerus","2437274"
"1171","Dremomys rufigenis",200.32,-999,-999,5.491666667,-999,-999,-999,"Dremomys_rufigenis","2437278"
"1172","Dromiciops gliroides",27.5,3,1.1,3.2,643.675,-999,-999,"Dromiciops_gliroides","2433393"
"1173","Dryomys laniger",25.91,4.18,1,-999,-999,30.2,31.32,"Dryomys_laniger","2439686"
"1174","Dryomys nitedula",26,3.24,1.2,4,-999,24.65316,30.436,"Dryomys_nitedula","2439688"
"1175","Dugong dugon",360000,1,0.22,70,3470,372.52,547.848,"Dugong_dugon","9729967"
"1176","Dusicyon australis",21083,-999,-999,5.241666667,-999,-999,-999,"Dusicyon_australis","2434452"
"1177","Dyacopterus brooksi",83.05,1.5,-999,30,-999,-999,-999,"Dyacopterus_brooksi","4265615"
"1178","Dyacopterus spadiceus",85,1.5,-999,30,-999,-999,-999,"Dyacopterus_spadiceus","2432776"
"1179","Dymecodon pilirostris",15.46,3,1,-999,-999,40,-999,"Dymecodon_pilirostris","2436223"
"1180","Echimys chrysurus",624.995,1.97,-999,1.5,-999,-999,-999,"Echimys_chrysurus","5219927"
"1181","Echimys saturnus",626.89,-999,-999,-999,-999,-999,-999,"Echimys_saturnus","5219924"
"1182","Echimys semivillosus",282.36,-999,-999,-999,-999,-999,-999,"Echimys_semivillosus","5219920"
"1183","Echinoprocta rufescens",831.79,-999,-999,1.25,-999,-999,-999,"Echinoprocta_rufescens","2437596"
"1184","Echinops telfairi",166.125,5.49,1,13,278.42,57.8284,29,"Echinops_telfairi","5218434"
"1185","Echinosorex gymnura",756.53,1.85,2,4.583333333,-999,37.8925,-999,"Echinosorex_gymnura","2437114"
"1186","Echymipera clara",1204.61,2.2,1.93,-999,-999,-999,-999,"Echymipera_clara","2435323"
"1187","Echymipera davidi",817.05,-999,-999,-999,-999,-999,-999,"Echymipera_davidi","2435327"
"1188","Echymipera echinista",1204.61,-999,-999,-999,-999,-999,-999,"Echymipera_echinista","2435322"
"1189","Echymipera kalubu",737.58,2.085,1.93,2.679166667,-999,13.015,-999,"Echymipera_kalubu","2435317"
"1190","Echymipera rufescens",1150.74,2.2,1.5,2.9875,-999,-999,-999,"Echymipera_rufescens","2435324"
"1191","Ectophylla alba",5.55,0.995,2,-999,-999,-999,24.98,"Ectophylla_alba","2433222"
"1192","Eidolon dupreanum",297.58,1.08,1,21.8,-999,164.36,62.915,"Eidolon_dupreanum","2432850"
"1193","Eidolon helvum",280.43,1.04,1,21.8,-999,219.68,62.915,"Eidolon_helvum","2432851"
"1194","Eira barbara",4134.99,2,-999,18,700,66.65484,82.48156,"Eira_barbara","2433716"
"1195","Elaphodus cephalophus",33500,1,-999,22.625,631.37,181.24,-999,"Elaphodus_cephalophus","2440983"
"1196","Elaphurus davidianus",165989.17,1.11,1,23.3,821.386,286.4534375,167,"Elaphurus_davidianus","2440938"
"1197","Elasmodontomys obliquus",13700,-999,-999,-999,-999,-999,-999,"Elasmodontomys_obliquus","2439714"
"1198","Elephantulus brachyrhynchus",45.11,1.645,3.975,4.158333333,-999,-999,-999,"Elephantulus_brachyrhynchus","2440856"
"1199","Elephantulus edwardii",49.85,1.8,-999,5.658333333,-999,-999,27.28,"Elephantulus_edwardii","2440847"
"1200","Elephantulus fuscipes",57,0.96,-999,-999,-999,-999,-999,"Elephantulus_fuscipes","2440843"
"1201","Elephantulus intufi",48.9,1.6,2.59,8.8,334.796,51.7412,38,"Elephantulus_intufi","2440842"
"1202","Elephantulus myurus",61.985,1.84,3,1.1,54.30268,55.3924,26.628,"Elephantulus_myurus","2440855"
"1203","Elephantulus revoili",32.49,-999,-999,-999,-999,-999,-999,"Elephantulus_revoili","2440845"
"1204","Elephantulus rozeti",48,2.5,2,3,-999,76,-999,"Elephantulus_rozeti","2440839"
"1205","Elephantulus rufescens",55.5,1.41,5.2,6,61.87,58.74148,23.43572,"Elephantulus_rufescens","2440848"
"1206","Elephantulus rupestris",62.78,1.84,-999,4.158333333,-999,56.45766,-999,"Elephantulus_rupestris","2440844"
"1207","Elephas maximus",3220000,1,0.23,73.5,3569.03354,642.84,548,"Elephas_maximus","5219461"
"1208","Eligmodontia moreni",18,-999,-999,-999,-999,-999,-999,"Eligmodontia_moreni","5219751"
"1209","Eligmodontia morgani",16.5,-999,-999,-999,-999,-999,-999,"Eligmodontia_morgani","5219749"
"1210","Eligmodontia puerulus",19.45,5.12,-999,0.8,54.4065,18.38,18.2616,"Eligmodontia_puerulus","5219752"
"1211","Eligmodontia typus",17.5,5.12,-999,0.8,54.4065,18.38,18.2616,"Eligmodontia_typus","5219750"
"1212","Eliomys melanurus",114.61,4.99,1.2,5.5,547.848,22.985,30.436,"Eliomys_melanurus","2439684"
"1213","Eliomys munbyanus",114.61,4.99,1.2,5.5,547.848,22.985,30.436,"Eliomys_munbyanus","4262915"
"1214","Eliomys quercinus",114.61,4.99,1.2,5.5,547.848,22.97,30.436,"Eliomys_quercinus","2439683"
"1215","Eliurus ellermani",100,-999,-999,-999,-999,-999,-999,"Eliurus_ellermani","4263423"
"1216","Eliurus majori",100,-999,-999,-999,-999,-999,-999,"Eliurus_majori","2438529"
"1217","Eliurus minor",57.53,-999,-999,-999,-999,-999,-999,"Eliurus_minor","2438527"
"1218","Eliurus myoxinus",69.76,-999,-999,-999,-999,23.99,-999,"Eliurus_myoxinus","2438525"
"1219","Eliurus penicillatus",100,-999,-999,-999,-999,-999,-999,"Eliurus_penicillatus","2438528"
"1220","Eliurus petteri",75,-999,-999,-999,-999,-999,-999,"Eliurus_petteri","4263422"
"1221","Eliurus tanala",89.99,-999,-999,-999,-999,-999,-999,"Eliurus_tanala","2438526"
"1222","Eliurus webbi",61.13,-999,-999,-999,-999,-999,-999,"Eliurus_webbi","2438524"
"1223","Ellobius fuscocapillus",80,3.565,-999,-999,-999,-999,-999,"Ellobius_fuscocapillus","2438759"
"1224","Ellobius lutescens",80,3.67,-999,-999,-999,-999,-999,"Ellobius_lutescens","2438762"
"1225","Ellobius talpinus",39,3.635,4.375,0.583333333,93.7017,26.23966,60.431,"Ellobius_talpinus","2438760"
"1226","Ellobius tancrei",39,3.635,4.375,0.458333333,93.7017,26.23966,60.431,"Ellobius_tancrei","2438758"
"1227","Emballonura alecto",5.25,-999,-999,-999,-999,-999,-999,"Emballonura_alecto","2433121"
"1228","Emballonura atrata",4.55,-999,-999,-999,-999,-999,-999,"Emballonura_atrata","2433125"
"1229","Emballonura beccarii",4.31,-999,-999,-999,-999,-999,-999,"Emballonura_beccarii","2433122"
"1230","Emballonura dianae",13.21,1.5,-999,-999,-999,-999,-999,"Emballonura_dianae","2433120"
"1231","Emballonura furax",15.94,-999,-999,-999,-999,-999,-999,"Emballonura_furax","2433124"
"1232","Emballonura monticola",5,1,-999,-999,365.25,-999,-999,"Emballonura_monticola","2433130"
"1233","Emballonura raffrayana",5.61,-999,-999,-999,-999,-999,-999,"Emballonura_raffrayana","2433123"
"1234","Emballonura semicaudata",6.29,-999,-999,-999,-999,-999,-999,"Emballonura_semicaudata","2433126"
"1235","Enchisthenes hartii",16.99,0.99,-999,-999,-999,-999,-999,"Enchisthenes_hartii","4265356"
"1236","Enhydra lutris",943.25,1,0.83,19,659.435,216.0956,175.30786,"Enhydra_lutris","2433670"
"1237","Eoglaucomys fimbriatus",510,3.67,2,4.991666667,-999,-999,75.47,"Eoglaucomys_fimbriatus","4264118"
"1238","Eolagurus luteus",26,7.5,3.5,1.416666667,27.21646,-999,-999,"Eolagurus_luteus","2438165"
"1239","Eonycteris major",80.85,1,-999,-999,-999,-999,-999,"Eonycteris_major","2432967"
"1240","Eonycteris robusta",78.36,1,-999,-999,-999,-999,-999,"Eonycteris_robusta","4265634"
"1241","Eonycteris spelaea",55.15,1,2,5,357.41,152.18,59.95,"Eonycteris_spelaea","2432968"
"1242","Eospalax fontanierii",256.76,-999,-999,-999,-999,-999,-999,"Eospalax_fontanierii","4264687"
"1243","Eothenomys cachinus",19.59,1.8,-999,-999,-999,-999,-999,"Eothenomys_cachinus","4265027"
"1244","Eothenomys melanogaster",19.59,1.8,-999,-999,-999,-999,-999,"Eothenomys_melanogaster","2438894"
"1245","Eothenomys miletus",19.59,1.8,-999,-999,-999,-999,-999,"Eothenomys_miletus","4265026"
"1246","Episoriculus caudatus",8.94,4.77,-999,-999,-999,-999,-999,"Episoriculus_caudatus","2435883"
"1247","Episoriculus fumidus",6.95,3.42,-999,-999,-999,-999,-999,"Episoriculus_fumidus","2435892"
"1248","Episoriculus leucops",9.35,-999,-999,-999,-999,-999,-999,"Episoriculus_leucops","2435888"
"1249","Epixerus ebii",460,2,-999,-999,-999,-999,-999,"Epixerus_ebii","2437272"
"1250","Epomophorus angolensis",88.75,1,-999,-999,-999,-999,-999,"Epomophorus_angolensis","2432786"
"1251","Epomophorus crypturus",87.52,1,1.5,7.8,-999,150,60.41,"Epomophorus_crypturus","4265714"
"1252","Epomophorus gambianus",80,1,1.5,7.8,-999,150,59.99,"Epomophorus_gambianus","2432790"
"1253","Epomophorus grandis",49.42,-999,-999,-999,-999,-999,-999,"Epomophorus_grandis","2432788"
"1254","Epomophorus labiatus",69.65,0.99,2,-999,-999,156.43,-999,"Epomophorus_labiatus","2432791"
"1255","Epomophorus minor",57.205,0.99,2,-999,-999,156.43,-999,"Epomophorus_minor","4265716"
"1256","Epomophorus wahlbergi",86.795,1,2,10.08333333,243.52,156.43,668.8,"Epomophorus_wahlbergi","2432787"
"1257","Epomops buettikoferi",135.67,0.98,2,2.166666667,275.89,139.92,55.65,"Epomops_buettikoferi","2432803"
"1258","Epomops dobsonii",122.08,-999,-999,-999,-999,-999,-999,"Epomops_dobsonii","2432801"
"1259","Epomops franqueti",118.99,1,2,3.158333333,-999,161.77,-999,"Epomops_franqueti","2432802"
"1260","Eptesicus andinus",9.2,1.46,-999,-999,-999,-999,-999,"Eptesicus_andinus","4266016"
"1261","Eptesicus bobrinskoi",7.725,-999,-999,-999,-999,-999,-999,"Eptesicus_bobrinskoi","2432355"
"1262","Eptesicus bottae",15.66,2,1,12,-999,-999,-999,"Eptesicus_bottae","2432346"
"1263","Eptesicus brasiliensis",9.2,1.46,-999,-999,-999,-999,-999,"Eptesicus_brasiliensis","2432368"
"1264","Eptesicus chiriquinus",9.2,1.46,-999,-999,-999,-999,-999,"Eptesicus_chiriquinus","4265994"
"1265","Eptesicus diminutus",5.99,-999,-999,-999,-999,-999,-999,"Eptesicus_diminutus","2432372"
"1266","Eptesicus dimissus",13.03,-999,-999,-999,-999,-999,-999,"Eptesicus_dimissus","4266017"
"1267","Eptesicus floweri",7.2,-999,-999,-999,-999,-999,-999,"Eptesicus_floweri","2432374"
"1268","Eptesicus furinalis",7.7,1.86,2,-999,338.33,92.54,-999,"Eptesicus_furinalis","2432362"
"1269","Eptesicus fuscus",17.195,1.925,1,19,471.145,43.57,34.18,"Eptesicus_fuscus","2432352"
"1270","Eptesicus gobiensis",13,1.25,-999,15.5,-999,-999,-999,"Eptesicus_gobiensis","7261813"
"1271","Eptesicus guadeloupensis",18.99,-999,-999,-999,-999,-999,-999,"Eptesicus_guadeloupensis","2432351"
"1272","Eptesicus hottentotus",30.33,-999,-999,-999,-999,-999,-999,"Eptesicus_hottentotus","2432363"
"1273","Eptesicus innoxius",7.49,-999,-999,-999,-999,-999,-999,"Eptesicus_innoxius","2432353"
"1274","Eptesicus japonensis",13,1.5,1,15.5,-999,-999,-999,"Eptesicus_japonensis","4265974"
"1275","Eptesicus kobayashii",14.53,-999,-999,-999,-999,-999,-999,"Eptesicus_kobayashii","2432364"
"1276","Eptesicus matroka",6.57,1.22,-999,-999,-999,-999,-999,"Eptesicus_matroka","4266014"
"1277","Eptesicus nasutus",7.91,-999,-999,-999,-999,-999,-999,"Eptesicus_nasutus","2432365"
"1278","Eptesicus nilssonii",13,1.5,1,15.5,-999,-999,26,"Eptesicus_nilssonii","7261816"
"1279","Eptesicus pachyotis",8.1,-999,-999,-999,-999,-999,-999,"Eptesicus_pachyotis","2432378"
"1280","Eptesicus platyops",18.2,1.5,1,12.5,-999,66.72,30.8,"Eptesicus_platyops","2432367"
"1281","Eptesicus serotinus",18.2,1.5,1,12.5,-999,66.72,30.8,"Eptesicus_serotinus","2432359"
"1282","Eptesicus tatei",13.65,-999,-999,-999,-999,-999,-999,"Eptesicus_tatei","2432361"
"1283","Equus asinus",171249.245,1,-999,47,708,361.65946,152.2,"Equus_asinus","2440891"
"1284","Equus caballus",250000,1,1,57,914,337.985,274,"Equus_caballus","2440886"
"1285","Equus grevyi",384000,1,0.5,27.375,1341.92,405.71375,275.39906,"Equus_grevyi","2440894"
"1286","Equus hemionus",230000,1,0.7,28.8625,1157,346,456,"Equus_hemionus","2440893"
"1287","Equus kiang",262500,1,0.585,30.025,1000.7995,304.4,418.225,"Equus_kiang","2440887"
"1288","Equus quagga",280000,1,0.62,38,900,367.69088,366.215,"Equus_burchellii","2440892"
"1289","Equus quagga",3e+05,1,0.6,20.64583333,906.5625,365.28,395,"Equus_quagga","2440892"
"1290","Equus zebra",296000,1,0.6,26.75,1009,363.49,304,"Equus_zebra","2440888"
"1291","Eremitalpa granti",22.8,1.18,-999,2,-999,-999,-999,"Eremitalpa_granti","2432155"
"1292","Eremodipus lichtensteini",51,4.86,1,-999,-999,-999,-999,"Eremodipus_lichtensteini","2439457"
"1293","Erethizon dorsatus",8009.73,1,1,18,933.785,210,49.47904,"Erethizon_dorsata","6066824"
"1294","Erignathus barbatus",283333.33,1,0.945,31,1978.94872,275.16878,18,"Erignathus_barbatus","2434816"
"1295","Erinaceus amurensis",774.475,4.22,1.58,8.15,265.8,36.0675375,41.70366,"Erinaceus_amurensis","5219617"
"1296","Erinaceus concolor",771,4.5,1.54,8,233.026,35.611875,41.69732,"Erinaceus_concolor","5219624"
"1297","Erinaceus europaeus",777.95,4.22,1.58,11.64166667,265.8,36.0675375,41.70366,"Erinaceus_europaeus","5219616"
"1298","Erinaceus roumanicus",771,4.5,1.54,8,233.026,35.611875,41.69732,"Erinaceus_roumanicus","5219618"
"1299","Erophylla bombifrons",16.1,1,1,-999,-999,136.98,60.88,"Erophylla_bombifrons","2433151"
"1300","Erophylla sezekorni",16.1,1,1,-999,-999,136.98,60.88,"Erophylla_sezekorni","2433150"
"1301","Erythrocebus patas",7660.5,1,1,23.9,977.75912,167.2,162.22388,"Erythrocebus_patas","2436548"
"1302","Eschrichtius robustus",27300000,1,0.5,77,2922,379.9,185.6596,"Eschrichtius_robustus","2440704"
"1303","Eubalaena australis",2.3e+07,1,0.455256411,70,3285,363.49,224.24,"Eubalaena_australis","2440332"
"1304","Eubalaena glacialis",2.3e+07,1,0.29,67,3347.96,347.98,213.052,"Eubalaena_glacialis","2440339"
"1305","Eubalaena japonica",2.3e+07,1,0.29,67,3500.23,350.007,273.341,"Eubalaena_japonica","9747921"
"1306","Euderma maculatum",16.17,1,-999,-999,-999,-999,-999,"Euderma_maculatum","2432579"
"1307","Eudiscopus denticulus",7.2,-999,-999,-999,-999,-999,-999,"Eudiscopus_denticulus","2432561"
"1308","Eudorcas rufifrons",25000,1,1.5,17.22916667,365,172.365,102,"Eudorcas_rufifrons","7261425"
"1309","Eudorcas rufina",27000,1,-999,14.4875,-999,175.0035,-999,"Eudorcas_rufina","4262625"
"1310","Eudorcas thomsonii",23197.67,1,1.5,14.835,365,170.74596,101.9803,"Eudorcas_thomsonii","7261427"
"1311","Eulemur albifrons",2426.29,1.07,1,35.5,634.375,124.67636,152.5,"Eulemur_albifrons","9131667"
"1312","Eulemur albocollaris",2408.185,1.1,2,35.35,647.77462,119.415,153,"Eulemur_albocollaris","4266930"
"1313","Eulemur cinereiceps",2419,1.1,2,33.075,647.77462,119.415,153,"Eulemur_cinereiceps","4266932"
"1314","Eulemur collaris",2419,1.1,2,35.35,647.77462,119.415,153,"Eulemur_collaris","9812996"
"1315","Eulemur coronatus",1699.85,1.5,1,25.61666667,608.72,125.39632,-999,"Eulemur_coronatus","2436422"
"1316","Eulemur fulvus",2419,1.1,2,35.425,647.77462,119.415,153,"Eulemur_fulvus","9092265"
"1317","Eulemur macaco",2485.215,1.04,1,30,604.375,127.245,152,"Eulemur_macaco","2436420"
"1318","Eulemur mongoz",1915.565,1.11,1,30,796.25506,128.5,154,"Eulemur_mongoz","2436418"
"1319","Eulemur rubriventer",1765.33,1,-999,20.27083333,566.36,130,151.22,"Eulemur_rubriventer","2436421"
"1320","Eulemur rufus",2406.81,1.1,2,32.775,647.77462,119.415,153,"Eulemur_rufus","4266934"
"1321","Eulemur sanfordi",2406.515,1.1,2,35.35,647.77462,119.415,153,"Eulemur_sanfordi","4266929"
"1322","Eumetopias jubatus",382466.74,1,1,30,1803.125,308.05,351,"Eumetopias_jubatus","2433462"
"1323","Eumops auripendulus",28.49,0.99,-999,-999,-999,-999,-999,"Eumops_auripendulus","2432990"
"1324","Eumops bonariensis",12.22,1,1,-999,-999,-999,48.99,"Eumops_bonariensis","2432996"
"1325","Eumops dabbenei",58.5,1,1,-999,-999,85,45.66,"Eumops_dabbenei","2432989"
"1326","Eumops glaucinus",36.4,1.02,1,-999,-999,-999,38.49,"Eumops_glaucinus","2432991"
"1327","Eumops hansae",15.47,-999,-999,-999,-999,-999,-999,"Eumops_hansae","2432995"
"1328","Eumops maurus",20.66,-999,-999,-999,-999,-999,-999,"Eumops_maurus","2432992"
"1329","Eumops patagonicus",12.22,1,1,-999,-999,-999,48.99,"Eumops_patagonicus","7261927"
"1330","Eumops perotis",56.5,1,1,-999,-999,85,45.66,"Eumops_perotis","2432993"
"1331","Eumops trumbulli",56.5,1,1,-999,-999,85,45.66,"Eumops_trumbulli","4266572"
"1332","Eumops underwoodi",59.835,1,1,-999,-999,-999,-999,"Eumops_underwoodi","2432994"
"1333","Euneomys chinchilloides",70.485,-999,-999,-999,-999,-999,-999,"Euneomys_chinchilloides","2438876"
"1334","Euneomys fossor",56.9,3.4,-999,-999,-999,-999,-999,"Euneomys_fossor","2438874"
"1335","Euneomys mordax",81.99,-999,-999,-999,-999,-999,-999,"Euneomys_mordax","2438877"
"1336","Euneomys petersoni",75.57,-999,-999,-999,-999,-999,-999,"Euneomys_petersoni","2438875"
"1337","Euoticus elegantulus",280,0.99,-999,15,-999,135.206,-999,"Euoticus_elegantulus","2436514"
"1338","Euoticus pallidus",277.37,-999,-999,9.745833333,-999,-999,-999,"Euoticus_pallidus","2436513"
"1339","Eupetaurus cinereus",2521.1,-999,-999,-999,-999,-999,-999,"Eupetaurus_cinereus","2437468"
"1340","Euphractus sexcinctus",4850,1.75,-999,18.83333333,274,64.66,28,"Euphractus_sexcinctus","2440799"
"1341","Eupleres goudotii",2881.67,1.25,-999,0.25,-999,93.86,63.90934,"Eupleres_goudotii","2433512"
"1342","Euroscaptor klossi",60.46,4.5,1,3,-999,34.99,-999,"Euroscaptor_klossi","2436221"
"1343","Euroscaptor longirostris",60.46,-999,-999,3,-999,-999,-999,"Euroscaptor_longirostris","2436220"
"1344","Euroscaptor micrura",60.46,-999,-999,3,-999,-999,-999,"Euroscaptor_micrura","2436217"
"1345","Euroscaptor mizura",25.05,3,1,3,-999,40,-999,"Euroscaptor_mizura","2436213"
"1346","Euroscaptor parvidens",60.46,-999,-999,3,-999,-999,-999,"Euroscaptor_parvidens","2436218"
"1347","Euryzygomatomys spinosus",187.49,0.97,-999,0.583333333,-999,-999,-999,"Euryzygomatomys_spinosus","2439737"
"1348","Exilisciurus concinnus",27.72,1.94,-999,-999,-999,-999,-999,"Exilisciurus_concinnus","2437388"
"1349","Exilisciurus exilis",18.175,2.5,-999,-999,-999,-999,-999,"Exilisciurus_exilis","2437386"
"1350","Exilisciurus whiteheadi",24.91,1.94,-999,-999,-999,-999,-999,"Exilisciurus_whiteheadi","2437387"
"1351","Falsistrellus mackenziei",23,-999,-999,-999,-999,-999,-999,"Falsistrellus_mackenziei","4266082"
"1352","Falsistrellus mordax",10.46,-999,-999,-999,-999,-999,-999,"Falsistrellus_mordax","4266080"
