"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"3538","Pseudantechinus mimulus",39.99,5.94,1,2.5,350,44.36,106,"Pseudantechinus_mimulus","2435381"
"3539","Pseudantechinus ningbing",20.74,4,1.05,2,341.73,46.71,111.68,"Pseudantechinus_ningbing","2435380"
"3540","Pseudantechinus woolleyae",40.615,5.995,-999,3.6,320.07,-999,-999,"Pseudantechinus_woolleyae","2435385"
"3541","Pseudocheirus peregrinus",859.3,1.945,1.5,8,370.135,-999,188.57,"Pseudocheirus_peregrinus","2440062"
"3542","Pseudochirops albertisii",784.85,1.01,-999,1.75,-999,-999,-999,"Pseudochirops_albertisii","2440078"
"3543","Pseudochirops archeri",1118.96,1.015,1.1,-999,-999,-999,-999,"Pseudochirops_archeri","2440076"
"3544","Pseudochirops corinnae",1123,1.01,-999,-999,-999,-999,-999,"Pseudochirops_corinnae","2440072"
"3545","Pseudochirops coronatus",1090.35,1.01,-999,1.75,-999,-999,-999,"Pseudochirops_coronatus","2440082"
"3546","Pseudochirops cupreus",1764.08,1.005,-999,-999,-999,-999,-999,"Pseudochirops_cupreus","2440077"
"3547","Pseudochirulus canescens",700,2.285,1,5,639.1875,-999,155,"Pseudochirulus_canescens","2440088"
"3548","Pseudochirulus caroli",456.02,-999,-999,-999,-999,-999,-999,"Pseudochirulus_caroli","2440101"
"3549","Pseudochirulus cinereus",977.48,2,1,5,639.1875,-999,155,"Pseudochirulus_cinereus","2440096"
"3550","Pseudochirulus forbesi",639.16,1.26,-999,-999,-999,-999,-999,"Pseudochirulus_forbesi","2440086"
"3551","Pseudochirulus herbertensis",1098.34,1.945,1.525,5,454.74,13,121.76,"Pseudochirulus_herbertensis","2440099"
"3552","Pseudochirulus mayeri",153.125,1.26,-999,4.5,365.25,11,155,"Pseudochirulus_mayeri","2440084"
"3553","Pseudochirulus schlegeli",447.3,1.26,-999,-999,-999,-999,-999,"Pseudochirulus_schlegeli","2440097"
"3554","Pseudohydromys ellermani",21.4,-999,-999,-999,-999,-999,-999,"Pseudohydromys_ellermani","4264818"
"3555","Pseudohydromys fuscus",18.74,-999,-999,-999,-999,-999,-999,"Pseudohydromys_fuscus","4264817"
"3556","Pseudohydromys murinus",16.79,0.97,-999,-999,-999,-999,-999,"Pseudohydromys_murinus","2438407"
"3557","Pseudohydromys occidentalis",21.9,-999,-999,-999,-999,-999,-999,"Pseudohydromys_occidentalis","2438406"
"3558","Pseudois nayaur",52334.57,1.5,-999,20.84583333,566.41396,159.74,182.308,"Pseudois_nayaur","2441008"
"3559","Pseudois schaeferi",49500.62,1.5,-999,20.84583333,566.41396,159.74,182.308,"Pseudois_schaeferi","2441007"
"3560","Pseudomys albocinereus",28.25,4.08,2.215,2.658333333,76.715,34.20186,30.008,"Pseudomys_albocinereus","5219807"
"3561","Pseudomys apodemoides",21.89,4.7,3,-999,-999,44.76764,35.30006,"Pseudomys_apodemoides","5219799"
"3562","Pseudomys australis",65,3.1,-999,5.6,145,31.04472,26,"Pseudomys_australis","5219792"
"3563","Pseudomys bolami",12.79,2.375,-999,0.916666667,83.96218,31.88108,30.218,"Pseudomys_bolami","5219784"
"3564","Pseudomys calabyi",12,-999,-999,6.858333333,-999,-999,-999,"Pseudomys_calabyi","5706749"
"3565","Pseudomys chapmani",11.475,-999,-999,6.725,-999,-999,-999,"Pseudomys_chapmani","5219801"
"3566","Pseudomys delicatulus",9.78,3.095,-999,4.158333333,-999,30.01082,28.718,"Pseudomys_delicatulus","5219785"
"3567","Pseudomys desertor",31.045,3,3.91,1,77.705,29.39364,25.02812,"Pseudomys_desertor","5219802"
"3568","Pseudomys fieldi",45,3.5,-999,3.075,-999,29.49,30.436,"Pseudomys_fieldi","5219794"
"3569","Pseudomys fumeus",70,3.5,1.5,6.495833333,-999,-999,-999,"Pseudomys_fumeus","5219786"
"3570","Pseudomys glaucus",21.77,-999,-999,-999,-999,-999,-999,"Pseudomys_glaucus","5219795"
"3571","Pseudomys gouldii",49.99,-999,-999,-999,-999,-999,-999,"Pseudomys_gouldii","5219787"
"3572","Pseudomys gracilicaudatus",79.53,2.955,-999,-999,-999,27.1962,27.13492,"Pseudomys_gracilicaudatus","5219804"
"3573","Pseudomys hermannsburgensis",12.2,2.375,-999,0.916666667,83.96218,31.88108,30.218,"Pseudomys_hermannsburgensis","5219796"
"3574","Pseudomys higginsi",61.63,2.91,1.75,4,274.267,32.36326,28.41364,"Pseudomys_higginsi","5219788"
"3575","Pseudomys johnsoni",12,-999,-999,-999,-999,-999,-999,"Pseudomys_johnsoni","5219789"
"3576","Pseudomys laborifex",12,-999,-999,6.9,-999,-999,-999,"Pseudomys_laborifex","5219805"
"3577","Pseudomys nanus",52.19,3,-999,-999,101.52594,24.1694,24.21786,"Pseudomys_nanus","5219797"
"3578","Pseudomys novaehollandiae",17.4,4.05,3.75,3.991666667,106.82618,31.87108,26.44838,"Pseudomys_novaehollandiae","5219790"
"3579","Pseudomys occidentalis",34,3,-999,4.825,-999,-999,-999,"Pseudomys_occidentalis","5219806"
"3580","Pseudomys oralis",65,3.05,-999,5.6,145,31.04472,26,"Pseudomys_oralis","5219798"
"3581","Pseudomys pilligaensis",10.86,3,-999,1.5,-999,28.30548,-999,"Pseudomys_pilligaensis","5219808"
"3582","Pseudomys shortridgei",64,3,1,5.995833333,334.796,-999,-999,"Pseudomys_shortridgei","5219793"
"3583","Pseudorca crassidens",1360000,0.985,0.12,33.51666667,3491.92228,454.10512,547.5,"Pseudorca_crassidens","2440440"
"3584","Pseudoryx nghetinhensis",97842.2,-999,-999,-999,755.15,-999,-999,"Pseudoryx_nghetinhensis","4262655"
"3585","Pseudoryzomys simplex",45.2,-999,-999,-999,-999,-999,-999,"Pseudoryzomys_simplex","2438678"
"3586","Ptenochirus jagori",79.18,1,2,8,251.71,125.14,89.99,"Ptenochirus_jagori","2432847"
"3587","Ptenochirus minor",47.02,-999,-999,-999,-999,-999,-999,"Ptenochirus_minor","2432848"
"3588","Pteralopex acrodonta",257.53,-999,-999,-999,-999,-999,-999,"Pteralopex_acrodonta","2432962"
"3589","Pteralopex anceps",532.775,1,-999,-999,-999,-999,-999,"Pteralopex_anceps","2432965"
"3590","Pteralopex atrata",490.8,-999,-999,-999,-999,-999,-999,"Pteralopex_atrata","2432963"
"3591","Pteralopex pulchra",291.15,-999,-999,-999,-999,-999,-999,"Pteralopex_pulchra","2432964"
"3592","Pteromys volans",140,2.6,1.5,7.595833333,-999,30,60,"Pteromys_volans","2437258"
"3593","Pteromyscus pulverulentus",225,1.29,-999,-999,-999,-999,-999,"Pteromyscus_pulverulentus","2437227"
"3594","Pteronotus davyi",9.4,0.995,1,-999,365.25,60,-999,"Pteronotus_davyi","5218622"
"3595","Pteronotus gymnonotus",13.6,0.98,-999,-999,-999,-999,-999,"Pteronotus_gymnonotus","5218624"
"3596","Pteronotus macleayii",12.39,1,-999,-999,-999,-999,-999,"Pteronotus_macleayii","5218621"
"3597","Pteronotus parnellii",19.395,0.995,1,-999,-999,107.97,76.1,"Pteronotus_parnellii","5218620"
"3598","Pteronotus personatus",10.995,0.98,-999,-999,-999,-999,-999,"Pteronotus_personatus","5218619"
"3599","Pteronotus quadridens",5.27,1.21,1,-999,-999,156.43,-999,"Pteronotus_quadridens","5218623"
"3600","Pteronura brasiliensis",24000,1.94,1,13.66666667,730.232,68.78536,120.48,"Pteronura_brasiliensis","2433681"
"3601","Pteropus admiralitatum",306.46,1,-999,2.241666667,-999,-999,-999,"Pteropus_admiralitatum","5218676"
"3602","Pteropus aldabrensis",401.245,1,1,9.9,-999,156.43,-999,"Pteropus_aldabrensis","5218647"
"3603","Pteropus alecto",641.115,1.1,1,19.66666667,-999,-999,89.17,"Pteropus_alecto","5218686"
"3604","Pteropus anetianus",397.22,0.98,-999,7.4,-999,-999,-999,"Pteropus_anetianus","5218677"
"3605","Pteropus aruensis",874.94,-999,-999,-999,-999,-999,-999,"Pteropus_aruensis","5707069"
"3606","Pteropus banakrisi",641.115,1.1,1,19.66666667,-999,-999,89.17,"Pteropus_banakrisi","5707060"
"3607","Pteropus brunneus",200,-999,-999,-999,-999,-999,-999,"Pteropus_brunneus","5218656"
"3608","Pteropus caniceps",525.12,-999,-999,8.566666667,-999,-999,-999,"Pteropus_caniceps","5218648"
"3609","Pteropus chrysoproctus",730.19,-999,-999,-999,-999,-999,-999,"Pteropus_chrysoproctus","5218698"
"3610","Pteropus cognatus",448.535,0.99,-999,-999,-999,-999,181.36,"Pteropus_cognatus","5706995"
"3611","Pteropus conspicillatus",760.71,1,-999,11.55833333,755.15,-999,139.51,"Pteropus_conspicillatus","5218680"
"3612","Pteropus dasymallus",463.43,1,-999,24,-999,-999,-999,"Pteropus_dasymallus","5218670"
"3613","Pteropus faunulus",222.62,-999,-999,-999,-999,-999,-999,"Pteropus_faunulus","5218660"
"3614","Pteropus fundatus",210.67,-999,-999,-999,-999,-999,-999,"Pteropus_fundatus","5218651"
"3615","Pteropus giganteus",824.85,0.995,1,35.7,380.145,155.795,136.04,"Pteropus_giganteus","5218642"
"3616","Pteropus gilliardorum",406.94,-999,-999,-999,-999,-999,-999,"Pteropus_gilliardorum","5707059"
"3617","Pteropus howensis",232.92,0.98,-999,-999,-999,-999,-999,"Pteropus_howensis","5218672"
"3618","Pteropus hypomelanus",442.805,1,1,20.20833333,377.57,156.43,93.09,"Pteropus_hypomelanus","5218662"
"3619","Pteropus insularis",155.24,-999,-999,-999,-999,-999,-999,"Pteropus_insularis","5218665"
"3620","Pteropus intermedius",872,1,1,18.46666667,-999,-999,91.32,"Pteropus_intermedius","5707057"
"3621","Pteropus keyensis",874.94,-999,-999,-999,-999,-999,-999,"Pteropus_keyensis","5707051"
"3622","Pteropus leucopterus",343.81,-999,-999,-999,-999,-999,-999,"Pteropus_leucopterus","5218654"
"3623","Pteropus livingstonii",715.385,1,-999,14.9875,-999,152.08,151.22,"Pteropus_livingstonii","5218694"
"3624","Pteropus lombocensis",256.15,-999,-999,-999,-999,-999,-999,"Pteropus_lombocensis","5218687"
"3625","Pteropus loochoensis",458.58,-999,-999,-999,-999,-999,-999,"Pteropus_loochoensis","5706998"
"3626","Pteropus lylei",318.225,-999,-999,20.3875,-999,-999,-999,"Pteropus_lylei","5218678"
"3627","Pteropus macrotis",365.99,1,-999,-999,-999,-999,350.78,"Pteropus_macrotis","5218667"
"3628","Pteropus mahaganus",297.28,-999,-999,-999,-999,-999,-999,"Pteropus_mahaganus","5218657"
"3629","Pteropus mariannus",458.58,-999,-999,-999,-999,-999,-999,"Pteropus_mariannus","5218697"
"3630","Pteropus melanopogon",874.94,-999,-999,-999,-999,-999,-999,"Pteropus_melanopogon","5218690"
