"ls" "ly" "bm" "long" "gest" "wea" "fmat" "General_system" "Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"Elephantulus_fuscipes" -0.0177287669604316 0.127338359162583 1.75587485567249 0.8107630860197 1.9398628466275 1.64990095155369 2.5359524255632 "T" -0.023349703285155 -0.722974332123157 1.01645278773547 0.0293195886828197 0.689008431675772 -0.10860903109684 -0.66797449079722 -0.264041250163456 1.10414431036079 0.778413653151957
"Petrodromus_tetradactylus" 0.0681858617461616 0.301029995663981 2.31806333496276 0.854306041801081 1.86507830918244 1.54907756384648 2.2203361879731 "T" -0.0233497032851549 -0.722974332123156 1.01645278773547 0.0293195886828195 0.689008431675775 -0.10860903109684 -0.667974490797222 -0.264041250163457 1.10414431036079 0.778413653151955
"Macroscelides_proboscideus" 0.204119982655925 0.587654222896907 1.59659709562646 0.938269483462911 1.81291335664286 1.27577926492677 1.64410461566925 "T" -0.02333947439635 -0.722420288194201 1.01492408838451 0.0292669059937239 0.687322410650143 -0.108320440570984 -0.665761978256765 -0.26276672756987 1.09782016547684 0.77337867012643
"Elephantulus_rufescens" 0.14921911265538 0.716003343634799 1.74429298312268 0.778151250383644 1.76894488443629 1.369878300601 1.79148011602 "T" -0.0233468337900952 -0.722818883453944 1.01602373279397 0.0293048004045678 0.688535015090879 -0.108527990082007 -0.667352991517074 -0.263682981619936 1.10236584417111 0.776997232228153
"Elephantulus_brachyrhynchus" 0.216165902285993 0.599337132992489 1.65427282709771 0.618919299540952 1.76388543702895 1.40474940117642 1.84116633630272 "T" -0.0233468337900952 -0.722818883453944 1.01602373279397 0.0293048004045678 0.688535015090878 -0.108527990082007 -0.667352991517072 -0.263682981619935 1.10236584417111 0.776997232228152
"Elephantulus_intufi" 0.204119982655925 0.413299764081252 1.68930885912362 0.944482672150169 1.71383649680679 1.57978359661681 2.52478026058674 "T" -0.0233462667232538 -0.722788168586136 1.01593898596538 0.0293018798315647 0.688441547657364 -0.108511991610812 -0.667230338211891 -0.263612328048135 1.10201526660549 0.776718121376545
"Elephantulus_rupestris" 0.264817823009536 0.48797025247823 1.79782131136402 0.618919299540952 1.7517228739854 1.43475012286428 1.89169579936898 "T" -0.0233462667232538 -0.722788168586136 1.01593898596538 0.0293018798315646 0.688441547657365 -0.108511991610812 -0.667230338211891 -0.263612328048135 1.10201526660549 0.776718121376545
"Potamogale_velox" 0.31492005599242 0.301029995663981 2.85512223391421 0.617951147601597 1.86226801179226 1.5025881118304 2.18546545700075 "SA" -0.0233647085269835 -0.723835599133298 1.01914327237274 0.029416793469447 0.692450801224548 -0.109217270286604 -0.673109744335435 -0.267692923298735 1.12455324980066 0.796286118293858
"Micropotamogale_ruwenzorii" 0.269512944217916 0.48182231788991 2.0379441552031 0.659582897614849 1.81690197358794 1.44829255138528 1.96000941078847 "SA" -0.0233704477428689 -0.724146709640787 1.02000340814332 0.0294464622026524 0.693402360280444 -0.109380269403319 -0.674362614505824 -0.268419879062865 1.12817943087016 0.799187437502747
"Micropotamogale_lamottei" 0.594392550375427 0.116030900996808 1.84257803917361 0.595861601902683 1.96309132738013 1.64459371302666 2.4889116098599 "SA" -0.023370447742869 -0.724146709640787 1.02000340814332 0.0294464622026517 0.693402360280446 -0.109380269403319 -0.674362614505827 -0.268419879062867 1.12817943087016 0.799187437502746
"Microgale_talazaci" 0.348304863048161 0.0924917988566546 1.66322963453287 0.763427993562937 1.78532983501077 1.46805179145424 2.8055008581584 "T" -0.0234477032419456 -0.728350671768357 1.03172754114896 0.029852268292437 0.706518820902519 -0.111632734157091 -0.691812815930227 -0.278733640563282 1.18020232052794 0.841197889784225
"Limnogale_mergulus" 0.457124626303409 0 1.89042101880091 0.561757764205931 1.8045992015084 1.57276534519291 2.65364327906087 "SA" -0.0234515868487356 -0.72856181187898 1.03231517369919 0.0298725914344812 0.70717451966334 -0.111745270225519 -0.692683060029201 -0.279245813422567 1.18277920061057 0.843274476046076
"Microgale_brevicaudata" 0.653212513775344 0.0506002924871304 0.953759691733229 0.556886779599925 1.79869521823377 1.53132600230899 2.59895500320909 "T" -0.0234611764298434 -0.729083154479494 1.03376605381313 0.0299227685736997 0.708793329299244 -0.11202309790952 -0.694831390295609 -0.280510029777698 1.18913933441293 0.848399489774678
"Microgale_dobsoni" 0.424881636631067 0.0762033696043581 1.57749179983723 0.7481880270062 1.78986263004638 1.45651542902821 2.82581025625072 "T" -0.023462483393382 -0.729154197359796 1.03396369593509 0.0299296028822071 0.709013750241664 -0.112060923878939 -0.695123794110475 -0.280681977739587 1.19000402315912 0.849096018317522
"Microgale_thomasi" 0.394366043057281 0.0629895439819916 1.35983548233989 0.463644180861779 1.81916211163268 1.56944440386449 2.63533870318817 "T" -0.0234624833933822 -0.729154197359797 1.03396369593509 0.029929602882208 0.709013750241664 -0.112060923878939 -0.695123794110475 -0.280681977739588 1.19000402315912 0.84909601831752
"Microgale_drouhardi" 0.575843099099951 0.276644554394847 1.08635983067475 0.0347621061255828 1.73986993993533 1.42218537250959 2.0133014021509 "T" -0.0234438563784373 -0.728141244059916 1.03114288819777 0.0298320236349082 0.705863892748703 -0.111520232523446 -0.690940476873267 -0.278217012177528 1.17759335112855 0.839089020490204
"Microgale_taiva" 0.575843099099951 0.276644554394847 1.088844562727 0.0347621061255828 1.73986993993533 1.42218537250959 2.0133014021509 "T" -0.0234438563784373 -0.728141244059914 1.03114288819777 0.0298320236349079 0.705863892748703 -0.111520232523446 -0.690940476873268 -0.278217012177528 1.17759335112856 0.839089020490205
"Microgale_cowani" 0.566766194168863 0.285553109700596 1.08760397368781 0.0347621061255828 1.73712493481934 1.42490832121792 1.9690757059965 "T" -0.0234425948182071 -0.728072698680184 1.03095237896006 0.0298254385183952 0.705651691137478 -0.111483827186282 -0.690659299439912 -0.278051999765309 1.17676454269852 0.838422060865867
"Geogale_aurita" 0.562292864456475 0.301029995663981 0.826074802700826 0.318758762554926 1.77937337107321 1.55441380307092 2.18844019258815 "T" -0.0234193488735209 -0.72680915906446 1.02743748172723 0.0297039001123536 0.701732107308228 -0.110811211865899 -0.685460214930551 -0.274995229919135 1.1613944107336 0.826042179484157
"Tenrec_ecaudatus" 1.22762964957101 0.176091259055681 2.94733322451666 0.800487959607347 1.77988496319264 1.43136376415899 2.28479128544587 "T" -0.0234384829885698 -0.727848601212267 1.03032522982367 0.0298037010297035 0.704946930316742 -0.111362679665588 -0.689717837474979 -0.277491551971252 1.17392552608714 0.83612137113402
"Hemicentetes_semispinosus" 0.713490543093943 0.243038048686294 2.12385164096709 0.431363764158987 1.73058219580688 1.32110234323638 1.66463182309892 "T" -0.0234407151862485 -0.727969865135199 1.0306621352853 0.0298153447257429 0.705322016925136 -0.111427022607932 -0.690214622742974 -0.277782863470077 1.17538798847009 0.83729777037516
"Hemicentetes_nigriceps" 0.700703717145019 0.301029995663981 2.09586645347854 0.425968732326568 1.73624060640841 1.33243845991561 1.68636810347304 "T" -0.0234407151862485 -0.727969865135199 1.0306621352853 0.0298153447257433 0.705322016925137 -0.111427022607932 -0.690214622742974 -0.277782863470077 1.17538798847009 0.83729777037516
"Setifer_setosus" 0.482873583608754 0 2.48303070121422 1.02290927960154 1.75984937960176 1.38021124171161 2.29666519026153 "T" -0.0234362022840148 -0.727724642166615 1.02998046171096 0.0297917804465019 0.704562555704903 -0.111296723004481 -0.689208100469468 -0.277191976910541 1.17241957817931 0.834908667471163
"Echinops_telfairi" 0.739572344450092 0 2.22043499395079 1.11394335230684 1.76214117638134 1.46239799789896 2.44470042913414 "T" -0.0234362022840146 -0.727724642166615 1.02998046171096 0.0297917804465009 0.704562555704903 -0.111296723004481 -0.689208100469469 -0.277191976910541 1.17241957817931 0.834908667471164
"Eremitalpa_granti" 0.0718820073061254 0.0207631323512391 1.35793484700045 0.301029995663981 2.00659952810893 1.74898629432735 2.60021197476725 "T" -0.0234909807971139 -0.730742697638468 1.03863718508845 0.0300948042562382 0.714606492380632 -0.113035736631069 -0.703031707623129 -0.285873582561221 1.21785872064039 0.87275503627928
"Chrysochloris_visagiei" 0.494154594018443 0.0497238375551313 1.5649026725292 0.381716596648813 1.88361579355783 1.87656421398385 2.54206065796306 "T" -0.023535869387423 -0.733189637544446 1.04548932092133 0.0303323797724121 0.72231558292246 -0.114361343691587 -0.713345063510577 -0.292034939769605 1.24915633800805 0.898186010079115
"Chrysochloris_asiatica" 0.494154594018443 0.0497238375551313 1.56737930765098 0.381716596648813 1.88361579355783 1.87656421398385 2.54206065796306 "T" -0.0235358693874248 -0.733189637544468 1.04548932092139 0.0303323797724151 0.722315582922526 -0.1143613436916 -0.713345063510662 -0.292034939769657 1.2491563380083 0.898186010079321
"Chrysochloris_stuhlmanni" -0.0177287669604316 0.0365278489996442 1.67924614541386 0.622860648443035 2.04258986123277 1.86572564300126 2.62800663929761 "T" -0.0235351410983366 -0.7331499540843 1.04537830027421 0.0303285319311185 0.72219082791424 -0.114339897359855 -0.713178348648763 -0.291935534875043 1.24865197827364 0.897776581140241
"Calcochloris_obtusirostris" 0.301029995663981 0.0636545935359672 1.38111508070985 0.464295722447905 1.87856310708446 1.82806572379109 2.60453809888382 "T" -0.0235355705217546 -0.733173447663692 1.04544462525228 0.030330838924884 0.722266220572595 -0.114352891060057 -0.713280160873151 -0.291997356065311 1.24896902909848 0.898036223573145
