Unique_ID,Ref,Reference,Region,Taxa,Group,Species,Mean_gm2,Variance,CV,CV_k,Count,Units,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ts9,ts10,ts11,ts12,ts13,ts14,ts15,ts16,ts17,ts18,ts19,ts20,ts21,ts22,ts23,ts24,ts25,ts26,ts27,ts28,ts29,ts30,ts31,ts32,ts33,ts34,ts35,ts36,ts37,ts38,ts39,ts40,ts41,ts42,ts43,ts44,ts45,ts46,ts47,ts48,ts49,ts50,ts51,ts52,ts53,ts54,ts55,ts56,ts57,ts58,ts59,ts60,ts61,ts62,ts63,ts64,ts65,ts66,ts67,ts68,ts69,ts70,ts71,ts72,ts73,ts74,ts75,ts76,ts77,ts78,ts79,ts80,ts81,ts82,ts83,ts84,ts85,ts86,ts87,ts88,ts89,ts90,ts91,ts92,ts93,ts94,ts95,ts96,ts97,ts98,ts99,ts100,ts101,ts102,ts103,ts104,ts105,ts106,ts107,ts108,ts109,ts110,ts111,ts112,ts113,ts114,ts115,ts116,ts117,ts118,ts119,ts120,ts121,ts122,ts123,ts124,ts125,ts126,ts127,ts128,ts129,ts130,ts131,ts132,ts133,ts134,ts135
89,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,P. minutus c ,2.210425806,3.211670499,0.810754838,0.629775726,31,g/m2,1.4462,1.1366,6.8617,5.0336,1.9832,0.7563,0.7359,8.1574,2.336,0.7419,2.7102,1.0126,2.2067,1.3587,2.4915,2.3218,1.8355,0.2673,1.1395,1.8054,1.8713,2.8972,1.123,1.8326,2.6925,1.3115,0.5218,2.4439,1.511,4.9697,1.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Acartia sp. c ,1.842380645,3.619781236,1.032670569,0.718379134,31,g/m2,0.1351,0.0914,1.8151,0.5849,1.4074,0.1349,0.1616,2.199,1.7017,2.2476,1.8552,1.0168,3.9342,1.9128,2.0689,2.0362,1.9492,0.2443,0.7813,1.0997,4.0299,3.4108,1.7835,1.0002,0.7575,1.3014,0.9003,10.2877,1.2437,3.63,1.3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,T. longiremis c ,3.460154839,11.87914027,0.996086311,0.705719014,31,g/m2,0.5064,0.0836,8.4935,4.0277,3.5893,0.3752,0.5782,11.0218,5.3336,1.4971,4.5843,0.5267,3.358,3.0962,3.7404,2.6911,3.5739,0.3738,0.161,1.9917,9.9117,5.8304,3.1465,1.2404,1.2714,0.5263,0.2224,13.4491,1.2429,7.2132,3.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,C. hamatus c,1.330193333,5.700231719,1.794863758,0.87356705,30,g/m2,0.0622,0.0249,1.1109,0.1843,0.3618,0.0495,0.3028,3.3469,0.3188,0.3039,0.6452,0.9064,6.5011,0.287,1.6025,1.3211,0.6047,0.1361,,0.0289,7.7349,0.2648,0.1817,0.0854,0.2709,0.2338,0.1852,9.6519,0.5208,1.5588,1.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,O. similis c ,0.052403333,0.004121766,1.22513164,0.774694487,30,g/m2,0.1128,0.1229,0.0534,0.1437,0.0177,0.0374,0.0264,0.2985,0.0282,0.0426,0.0176,0.008,0.0055,0.0068,0.0048,0.0145,0.0033,0.0053,0.021,,0.0537,0.058,0.003,0.0185,0.0464,0.0615,0.0248,0.1006,0.0524,0.1707,0.0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Copepoda,9.601283871,65.40180525,0.84229759,0.644221808,31,g/m2,2.3264,1.6588,18.6611,10.0067,8.5084,1.668,3.3087,26.1246,9.7995,6.2371,10.8023,5.7003,17.4751,7.0473,10.0781,8.4755,8.9201,1.5625,2.9365,6.133,23.9456,13.3518,7.077,4.6534,5.9846,5.3803,2.3903,36.5128,4.8847,18.6775,7.3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Cladocera,1.316006897,9.094254806,2.29152919,0.916530583,29,g/m2,0.0002,0.0004,0.7597,6.2978,0.107,,,0.418,14.2139,0.782,0.0375,0.0003,0.7612,0.203,6.1924,4.5519,0.0131,0.003,0.0693,0.1828,0.7203,0.4027,0.5435,0.0216,0.0026,0.0009,0.0272,0.6163,0.5378,0.6449,0.0529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Rotatoria ,0.840678571,4.995213165,2.658563486,0.935976991,28,g/m2,0.0011,0.0058,1.0733,0.0006,0.0395,,0.0156,6.062,0.0011,,0.2808,0.023,1.8506,0.0028,0.0044,0.0011,1.1198,0.0113,1.1074,10.4991,,0.02,0.0092,0.1505,0.1025,0.0134,0.0722,0.5854,0.0059,0.3902,0.0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Append ,0.600312903,0.840477578,1.52716298,0.836600488,31,g/m2,0.4584,0.8712,0.296,0.0223,0.0881,0.4177,1.9869,1.0284,0.058,0.0431,0.7479,2.0777,0.1447,0.0381,0.0108,0.1603,0.4255,0.6315,4.2636,1.7889,0.0343,0.0476,0.0591,0.0934,0.2623,0.5696,1.6751,0.16,0.0238,0.1092,0.0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Dahmen, K (1997): Tab. H3: Production of copepodites and mesoInvertebrate groups in 1988-1992 at station BMP-K2. doi:10.1594/PANGAEA.761820,",Dahmen 1997,,Ectotherm,Invertebrate,Polychaeta ,0.046956667,0.002634182,1.093013751,0.737802489,30,g/m2,0.0129,0.0294,0.0369,0.0029,,0.0471,0.0816,0.1658,0.0021,0.0009,0.0413,0.1056,0.0627,0.0023,0.0021,0.0062,0.0158,0.0272,0.0179,0.0576,0.0081,0.0036,0.0484,0.0149,0.0139,0.1792,0.0979,0.1425,0.0091,0.1214,0.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
