"","Species","ls","ly","bm","long","gest","wea","fmat","General_system","PC1","PC2","Binomial","GBIF_ID"
"651","Crocidura_negligens",-0.189942749393747,0.303386645896916,1.07918124604762,-0.516288760324653,0.0191968633616658,-0.125510743808137,-0.159892872254367,"T",1.15135004326544,-0.985424919180262,"Crocidura_negligens","2435705"
"652","Crocidura_nicobarica",0.108028733067083,0.249290346545512,1.49178177558417,-0.752520372360002,-0.168784625032452,-0.252823711244318,-0.247603253182231,"T",2.23677432049061,-0.148561258917048,"Crocidura_nicobarica","2435546"
"653","Crocidura_nigeriae",9.4049315415825e-05,0.234521716931551,1.23299611039215,-0.942865947183581,-0.179655590740231,-0.191012467634597,-0.166740078533721,"T",2.06355562502367,-0.0599797014770219,"Crocidura_nigeriae","2435530"
"654","Crocidura_nigricans",0.192862173680088,0.135111087871233,1.01494034979294,-1.59655201910258,-0.185716891863063,-0.16659588535591,-0.0584837406870358,"T",2.62686529115752,0.95855814546975,"Crocidura_nigricans","2435746"
"655","Crocidura_nigrofusca",-0.00255908387393292,0.219811260215681,1.07003786660776,-1.08412169976171,-0.155867940902111,-0.167518999317698,-0.132789059138341,"T",2.06373582951369,0.0567674078535505,"Crocidura_nigrofusca","2435680"
"656","Crocidura_niobe",0.086344234161106,0.231583297751793,1.20411998265592,-1.32613857395965,-0.194975851743449,-0.203759511104917,-0.161923107034659,"T",2.58760982740749,0.316805439006071,"Crocidura_niobe","2435626"
"657","Crocidura_obscurior",0.0398280808660929,0.175090124682516,0.54282542695918,-0.398090657239888,-0.0216921000530962,-0.0503101065322239,-0.0536068502192305,"T",0.940320603474779,-0.108428555478984,"Crocidura_obscurior","2435613"
"658","Crocidura_olivieri",0.163379804732558,0.240050974426789,1.56062387454993,-0.404523483071425,-0.240438818203565,-0.252287592106689,-0.19246113663879,"T",1.97656527407345,-0.0321196349569705,"Crocidura_olivieri","2435579"
"659","Crocidura_orientalis",-0.189942749393747,0.303386645896916,1.07918124604762,-0.516288760324653,0.0191968633616658,-0.125510743808137,-0.159892872254367,"T",1.15135004326544,-0.985424919180262,"Crocidura_orientalis","2435718"
"660","Crocidura_orii",0.217710078837644,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.32084166617532,-0.163477185881151,"Crocidura_orii","2435561"
"661","Crocidura_planiceps",0.031086754833852,0.145613629533021,0.397940008672038,-0.598838951589634,0.00887713714896677,-0.041357426682301,-0.0105141888003094,"T",0.960266225944439,0.0293951329995157,"Crocidura_planiceps","2435611"
"662","Crocidura_poensis",9.4049315415825e-05,0.232864481014134,1.23299611039215,-0.942865947183581,-0.177449532712431,-0.191012467634597,-0.166740078533721,"T",2.05763231428974,-0.0606706871574347,"Crocidura_poensis","2435577"
"663","Crocidura_pullata",0.204476438205443,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.30164699986617,-0.189240459991503,"Crocidura_pullata","2435761"
"664","Crocidura_rapax",0.204476438205443,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.30164699986617,-0.189240459991503,"Crocidura_rapax","2435750"
"665","Crocidura_religiosa",0.0595230408847979,0.207398900513259,0.845098040014257,-0.385189376299496,-0.0911003253737585,-0.0914716471198385,-0.0785512079714735,"T",1.19261731166576,-0.100492189649902,"Crocidura_religiosa","8934499"
"666","Crocidura_russula",0.204476438205443,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.30164699986617,-0.189240459991503,"Crocidura_russula","2435654"
"667","Crocidura_selina",0.180516353494294,0.135424888133198,1.16106838547117,-0.976855436947366,-0.200866054791798,-0.217815329727609,-0.15831867859053,"T",2.22354879168591,0.483981530751326,"Crocidura_selina","2435639"
"668","Crocidura_shantungensis",0.189279676401343,0.19806308462395,0.87069645798925,-0.0560516832051818,-0.0951095553376839,-0.0374912362376353,0.134571118340047,"T",0.691067417469248,0.28268770553397,"Crocidura_shantungensis","2435741"
"669","Crocidura_sibirica",0.273001549990208,0.258690418152843,1.03901732199741,-0.0452496139553615,-0.0765710815190856,-0.128890376970892,-0.113996163852853,"T",1.3438483931643,-0.0514504318981929,"Crocidura_sibirica","2435609"
"670","Crocidura_sicula",0.24025313895427,0.213863206716573,1.03502928220237,-0.0444214123413694,-0.081306671172586,-0.105403228556481,-0.138521063667869,"T",1.21965752120879,-0.0215260423028807,"Crocidura_sicula","2435553"
"671","Crocidura_silacea",0.201295412999611,0.211526311729474,1.01072386539177,-0.0113451499837837,-0.0887053557878876,-0.0887211962466202,-0.262989914110672,"T",1.28056319086486,-0.19138120773436,"Crocidura_silacea","2435536"
"672","Crocidura_stenocephala",0.0887394609288693,0.240017389779531,1.23817160363015,-1.1855672381789,-0.181876201797104,-0.197730641546117,-0.174627403252064,"T",2.4618617763584,0.211831718301711,"Crocidura_stenocephala","2435707"
"673","Crocidura_suaveolens",0.189279676401343,0.19806308462395,0.87069645798925,-0.0560516832051818,-0.0951095553376839,-0.0374912362376353,0.134571118340047,"T",0.691067417469248,0.28268770553397,"Crocidura_suaveolens","2435687"
"674","Crocidura_tarella",0.0422683376586668,0.231933204829345,1.09412159584056,-1.61299569548115,-0.145866791030775,-0.154718128686242,-0.133553207396108,"T",2.64002830701418,0.389210155854281,"Crocidura_tarella","2435636"
"675","Crocidura_tenuis",-0.189942749393747,0.301177639826637,1.07918124604762,-0.373597700048857,0.0367201291773757,-0.136846373642287,-0.151382769671417,"T",0.988774011469313,-1.08894295810197,"Crocidura_tenuis","2435549"
"676","Crocidura_theresae",-0.0847454907226253,0.305795243609887,1.28555730900777,-0.82687749387142,-0.101270160670163,-0.177542813152578,-0.21198417645001,"T",1.90355883107282,-0.555616952713675,"Crocidura_theresae","2435749"
"677","Crocidura_turba",0.0422683376586668,0.232146835345501,1.09412159584056,-1.61299569548115,-0.140130524703465,-0.155006968763861,-0.128645830333448,"T",2.62691868295174,0.383816003380834,"Crocidura_turba","2435704"
"678","Crocidura_usambarae",-0.0996980680663003,0.284453050272829,1.07298474462793,-0.658008820884545,-0.0386420197477747,-0.135588992945353,-0.169824701697972,"T",1.48559675082538,-0.636300137527684,"Crocidura_usambarae","2435669"
"679","Crocidura_viaria",0.152753601185379,0.136499015241441,1.1846914308176,-0.737409858115367,-0.217986050653037,-0.190941290070355,-0.11616747317795,"T",1.88157007486769,0.411753537871579,"Crocidura_viaria","2435630"
"680","Crocidura_vorax",0.204476438205443,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.30164699986617,-0.189240459991503,"Crocidura_vorax","2435637"
"681","Crocidura_vosmaeri",-0.189942749393747,0.294895775941312,1.07918124604762,-0.431818439469111,0.0363865742447257,-0.135095183377917,-0.151608778274157,"T",1.03235352392329,-1.04620522397774,"Crocidura_vosmaeri","2435675"
