"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"79","Microtus agrestis",1414,1,1,"Mammal","Rodentia",30.62668558,163.7915145,5.348,"Herbivore","Eutherian","Muridae","Microtus","Henttonen et al. 1987; after Duncan et al. 2007, method: count","","",NA,NA,"2438616"
"80","Microtus agrestis",1415,1,1,"Mammal","Rodentia",30.62668558,113.0737232,3.692,"Herbivore","Eutherian","Muridae","Microtus","Hannson 1987; after Duncan et al. 2007, method: count","","",NA,NA,"2438616"
"81","Microtus agrestis",1416,1,1,"Mammal","Rodentia",30.62668558,165.8741291,5.416,"Herbivore","Eutherian","Muridae","Microtus","Halle and Lehman 1992; after Duncan et al. 2007, method: count","","",NA,NA,"2438616"
"82","Microtus agrestis",1419,1,1,"Mammal","Rodentia",22,29.04,1.32,"Herbivore","Eutherian","Muridae","Microtus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438616"
"83","Microtus arvalis",1422,1,1,"Mammal","Rodentia",28,12.04,0.43,"Herbivore","Eutherian","Muridae","Microtus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438606"
"84","Microtus californicus",1424,1,1,"Mammal","Rodentia",45.49880602,210.2044838,4.62,"Herbivore","Eutherian","Muridae","Microtus","Batzli and Pitelka 1971; after Duncan et al. 2007, method: count","","",NA,NA,"2438603"
"85","Microtus montanus",1431,1,1,"Mammal","Rodentia",49,52.92,1.08,"Herbivore","Eutherian","Muridae","Microtus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438609"
"86","Microtus oeconomus",1434,1,1,"Mammal","Rodentia",49.68210633,229.5313312,4.62,"Herbivore","Eutherian","Muridae","Microtus","Henttonen et al. 1987; after Duncan et al. 2007, method: count","","",NA,NA,"2438635"
"87","Microtus oregoni",1438,1,1,"Mammal","Rodentia",20,23.2,1.16,"Herbivore","Eutherian","Muridae","Microtus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438661"
"88","Microtus pennsylvanicus",1439,1,1,"Mammal","Rodentia",38.80610014,232.8366008,6,"Herbivore","Eutherian","Muridae","Microtus","Turchin and Ostfeld 1997; after Duncan et al. 2007, method: count","","",NA,NA,"2438655"
"89","Microtus pennsylvanicus",1441,1,1,"Mammal","Rodentia",37,17.39,0.47,"Herbivore","Eutherian","Muridae","Microtus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438655"
"90","Microtus townsendii",1446,1,1,"Mammal","Rodentia",53.57966575,331.2294937,6.182,"Herbivore","Eutherian","Muridae","Microtus","Krebs 1979; after Duncan et al. 2007, method: count","","",NA,NA,"2438612"
"91","Mirounga angustirostris",397,1,2,"Mammal","Carnivora",1036811.964,153448.1707,0.148,"Carnivore","Eutherian","Phocidae","Mirounga","Eberhardt 1987; after Duncan et al. 2007, method: count","","",NA,NA,"2434813"
"92","Mirounga sp.",402,1,2,"Mammal","Carnivora",668833,441429.78,0.66,"Carnivore","Eutherian","Phocidae","Mirounga","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2434812"
"93","Mus musculus",1449,1,9,"Mammal","Rodentia",17.40203349,59.3409342,3.41,"Omnivore","Eutherian","Muridae","Mus","Redhead 1982; after Duncan et al. 2007, method: count","","",NA,NA,"7429082"
"94","Mus musculus",1450,1,9,"Mammal","Rodentia",17.40203349,39.67663636,2.28,"Omnivore","Eutherian","Muridae","Mus","Choquenot and Ruscoe 2000; after Duncan et al. 2007, method: count","","",NA,NA,"7429082"
"95","Mus musculus",1451,1,9,"Mammal","Rodentia",17.40203349,242.9323875,13.96,"Omnivore","Eutherian","Muridae","Mus","Brown and Singleton 1999; after Duncan et al. 2007, method: count","","",NA,NA,"7429082"
"96","Mustela erminea",404,1,2,"Mammal","Carnivora",127.5851122,530.7540668,4.16,"Carnivore","Eutherian","Mustelidae","Mustela","Korpimaki et al. 1991; after Duncan et al. 2007, method: count","","",NA,NA,"5219019"
"97","Mustela erminea",406,1,2,"Mammal","Carnivora",126,69.3,0.55,"Carnivore","Eutherian","Mustelidae","Mustela","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5219019"
"98","Mustela nivalis",415,1,2,"Mammal","Carnivora",38.6278023,288.9359612,7.48,"Carnivore","Eutherian","Mustelidae","Mustela","Korpimaki et al. 1991; after Duncan et al. 2007, method: count","","",NA,NA,"5218987"
"99","Mustela nivalis",418,1,2,"Mammal","Carnivora",57,29.64,0.52,"Carnivore","Eutherian","Mustelidae","Mustela","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5218987"
"100","Mustela putorius",420,1,2,"Mammal","Carnivora",747.825035,942.2595441,1.26,"Carnivore","Eutherian","Mustelidae","Mustela","Barlow and Norbury 2001; after Duncan et al. 2007, method: count","","",NA,NA,"5218911"
"101","Mustela vison",425,1,2,"Mammal","Carnivora",605,193.6,0.32,"Carnivore","Eutherian","Mustelidae","Mustela","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5218823"
"102","Myodes gapperi",1457,1,1,"Mammal","Rodentia",21,29.19,1.39,"Herbivore","Eutherian","Cricetidae","Myodes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5706760"
"103","Myodes glareolus",1458,1,1,"Mammal","Rodentia",20,22.4,1.12,"Herbivore","Eutherian","Cricetidae","Myodes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5706764"
"104","Myodes rufocanus",1460,1,1,"Mammal","Rodentia",18,25.56,1.42,"Herbivore","Eutherian","Cricetidae","Myodes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5706769"
"105","Napaeozapus insignis",1465,1,9,"Mammal","Rodentia",23,5.98,0.26,"Omnivore","Eutherian","Dipodidae","Napaeozapus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2439461"
"106","Neotoma albigula",1468,1,1,"Mammal","Rodentia",195,198.9,1.02,"Herbivore","Eutherian","Muridae","Neotoma","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438454"
"107","Octodon degus",1481,1,1,"Mammal","Rodentia",179.3494297,593.2879134,3.308,"Herbivore","Eutherian","Octodontidae","Octodon","Jimenez et al. 1992; after Duncan et al. 2007, method: count","","",NA,NA,"5219900"
"108","Odocoileus hemionus",150,1,1,"Mammal","Artiodactyla",52808.03408,11776.1916,0.223,"Herbivore","Eutherian","Cervidae","Odocoileus","Hatter and Janz 1994; after Duncan et al. 2007, method: count","","",NA,NA,"2440974"
"109","Ondatra zibethicus",1489,1,1,"Mammal","Rodentia",1461,555.18,0.38,"Herbivore","Eutherian","Muridae","Ondatra","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5219858"
"110","Onychomys leucogaster",1491,1,9,"Mammal","Rodentia",33,40.26,1.22,"Omnivore","Eutherian","Cricetidae","Onychomys","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438517"
"111","Onychomys torridus",1495,1,9,"Mammal","Rodentia",22,19.14,0.87,"Omnivore","Eutherian","Cricetidae","Onychomys","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2438516"
"112","Orcinus orca",578,1,2,"Mammal","Cetacea",3591699.548,165218.1792,0.046,"Carnivore","Eutherian","Delphinidae","Orcinus","Olesiuk et al. 1990; after Duncan et al. 2007, method: count","","",NA,NA,"2440483"
"113","Oryctolagus cuniculus",990,1,1,"Mammal","Lagomorpha",1717.51287,3538.076512,2.06,"Herbivore","Eutherian","Leporidae","Oryctolagus","Wood 1980; after Duncan et al. 2007, method: count","","",NA,NA,"2436940"
"114","Oryctolagus cuniculus",991,1,1,"Mammal","Lagomorpha",1717.51287,4293.782175,2.5,"Herbivore","Eutherian","Leporidae","Oryctolagus","Caley and Morley 2002; after Duncan et al. 2007, method: count","","",NA,NA,"2436940"
"115","Oryctolagus cuniculus",992,1,1,"Mammal","Lagomorpha",1717.51287,3538.076512,2.06,"Herbivore","Eutherian","Leporidae","Oryctolagus","Hone 1999; after Duncan et al. 2007, method: count","","",NA,NA,"2436940"
