"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr","GBIF_ID"
"805","Pipistrellus kuhlii",686,1,2,"Mammal","Chiroptera",6,0.125,"Carnivore","Eutherian",8,"5218464"
"806","Pipistrellus nathusii",687,1,2,"Mammal","Chiroptera",10,0.090909091,"Carnivore","Eutherian",10.999999989,"5218471"
"807","Pipistrellus pipistrellus",688,1,2,"Mammal","Chiroptera",5,0.060240964,"Carnivore","Eutherian",16.59999996016,"5218465"
"808","Pithecia monachus",1165,1,9,"Mammal","Primate",1780,0.1,"Omnivore","Eutherian",10,"2436375"
"809","Pithecia pithecia",232,1,9,"Mammal","Primate",1430,0.125722222,"Omnivore","Eutherian",7.95404331940617,"2436373"
"810","Plagiodontia aedium",1429,1,1,"Mammal","Rodentia",1267,0.157232704,"Herbivore","Eutherian",6.3600000162816,"2437638"
"811","Planigale maculata",741,1,2,"Mammal","Dasyuromorphia",10,0.431034483,"Carnivore","Marsupial",2.3199999987008,"2435458"
"812","Planigale tenuirostris",742,1,2,"Mammal","Dasyuromorphia",5.3,0.480769231,"Carnivore","Marsupial",2.0799999990016,"2435465"
"813","Platyrrhinus lineatus",689,1,2,"Mammal","Chiroptera",22,0.192307692,"Carnivore","Eutherian",5.20000000832,"5218765"
"814","Plecotus auritus",690,1,2,"Mammal","Chiroptera",7.8,0.033333333,"Carnivore","Eutherian",30.0000003,"5218507"
"815","Plecotus austriacus",691,1,2,"Mammal","Chiroptera",12,0.039215686,"Carnivore","Eutherian",25.5000001785,"5739437"
"816","Plecturocebus cupreus",1168,1,9,"Mammal","Primate",1120,0.09469697,"Omnivore","Eutherian",10.559999966208,"9634081"
"817","Plecturocebus donacophilus",1169,1,9,"Mammal","Primate",795,0.1,"Omnivore","Eutherian",10,"9605093"
"818","Plecturocebus moloch",1170,1,9,"Mammal","Primate",804,0.095419847,"Omnivore","Eutherian",10.4800000360512,"9523044"
"819","Podomys floridanus",1430,1,9,"Mammal","Rodentia",32,0.337837838,"Omnivore","Eutherian",2.9599999985792,"2438245"
"820","Pogonomys macrourus",1431,1,1,"Mammal","Rodentia",57,0.806451613,"Herbivore","Eutherian",1.2399999998512,"2438513"
"821","Poliocitellus franklinii",1432,1,1,"Mammal","Rodentia",459,0.347222222,"Herbivore","Eutherian",2.8800000018432,"7946545"
"822","Pongo pygmaeus",18110,1,1,"Mammal","Primate",54825,0.052457627,"Herbivore","Eutherian",19.0630048896417,"5219532"
"823","Pontoporia blainvillei",615,1,2,"Mammal","Cetacea",40000,0.159,"Carnivore","Eutherian",6.28930817610063,"5220001"
"824","Potamochoerus porcus",182,1,1,"Mammal","Artiodactyla",76000,0.136545454666667,"Herbivore","Eutherian",7.32356856873185,"2441225"
"825","Potorous longipes",838,1,1,"Mammal","Diprotodontia",1650,0.163398693,"Herbivore","Marsupial",6.1199999929008,"2440017"
"826","Potorous tridactylus",839,1,1,"Mammal","Diprotodontia",1430,0.172413793,"Herbivore","Marsupial",5.80000000348,"2440019"
"827","Potos flavus",81,1,2,"Mammal","Carnivora",2093.33333333333,0.079701389,"Carnivore","Eutherian",12.5468327785354,"2433573"
"828","Praomys tullbergi",1433,1,1,"Mammal","Rodentia",30,0.480769231,"Herbivore","Eutherian",2.0799999990016,"2438479"
"829","Presbytis melalophos",1174,1,9,"Mammal","Primate",6540,0.125,"Omnivore","Eutherian",8,"5219561"
"830","Priodontes maximus",273,1,9,"Mammal","Xenarthra",39200,0.1678333335,"Omnivore","Marsupial",5.95829195038898,"5220096"
"831","Prionailurus bengalensis",82,1,2,"Mammal","Carnivora",5000,0.158029412,"Carnivore","Eutherian",6.32793596675535,"2434903"
"832","Prionailurus planiceps",488,1,2,"Mammal","Carnivora",6750,0.178571429,"Carnivore","Eutherian",5.59999998656,"2434917"
"833","Prionailurus rubiginosus",489,1,2,"Mammal","Carnivora",1350,0.139664804,"Carnivore","Eutherian",7.1600000240576,"2434895"
"834","Prionailurus viverrinus",490,1,2,"Mammal","Carnivora",10650,0.145348837,"Carnivore","Eutherian",6.8800000099072,"2434899"
"835","Procapra gutturosa",190,1,1,"Mammal","Artiodactyla",30000,0.208333333,"Herbivore","Eutherian",4.80000000768,"2441147"
"836","Procavia capensis",183,1,1,"Mammal","Hyracoidea",3220,0.217972973,"Herbivore","Eutherian",4.58772473594697,"5219598"
"837","Procyon cancrivorus",83,1,2,"Mammal","Carnivora",6610,0.1567894735,"Carnivore","Eutherian",6.37797919514029,"9518324"
"838","Procyon lotor",841,1,2,"Mammal","Carnivora",5760,0.1230238095,"Carnivore","Eutherian",8.12850783977714,"5218786"
"839","Proechimys brevicauda",1434,1,9,"Mammal","Rodentia",285,0.367647059,"Omnivore","Eutherian",2.7199999986944,"2439788"
"840","Proechimys semispinosus",233,1,9,"Mammal","Rodentia",430.5,0.9300172415,"Omnivore","Eutherian",1.07524888289934,"2439789"
"841","Profelis aurata",495,1,2,"Mammal","Carnivora",10650,0.119047619,"Carnivore","Eutherian",8.40000000336,"5219401"
"842","Prolemur simus",1175,1,9,"Mammal","Primate",1737.5,0.142045455,"Omnivore","Eutherian",7.039999977472,"4266938"
"843","Propithecus diadema",1176,1,9,"Mammal","Primate",5550,0.047619048,"Omnivore","Eutherian",20.999999832,"5219529"
"844","Propithecus tattersalli",1177,1,9,"Mammal","Primate",3545,0.125,"Omnivore","Eutherian",8,"5219528"
"845","Propithecus verreauxi",1178,1,9,"Mammal","Primate",5000,0.032258065,"Omnivore","Eutherian",30.999999535,"5219530"
"846","Proteles cristata",496,1,2,"Mammal","Carnivora",10000,0.125,"Carnivore","Eutherian",8,"2433502"
"847","Przewalskium albirostre",191,1,1,"Mammal","Artiodactyla",135000,0.117370892,"Herbivore","Eutherian",8.5200000013632,"7447820"
