"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group","GBIF_ID"
"357","Mustela erminea",1617,1,2,"Mammal","Carnivora",78.9,1.343628e-05,4.64950078362495e-06,4.60112445500973e-06,1.343628e-05,1.053e-05,"Carnivore","Eutherian","5219019"
"358","Mustela nivalis",1618,1,2,"Mammal","Carnivora",80,3.5399999988e-05,1.6059205289099e-05,1.58967365838103e-05,3.5399999988e-05,3.6e-05,"Carnivore","Eutherian","5218987"
"359","Mylomys daltoni",2525,1,1,"Mammal","Rodentia",34,0.000864476665274724,0.000812041353208033,0.000864476665274724,NA,0.00317,"Herbivore","Eutherian","2439320"
"360","Mylomys dybowskii",2526,1,1,"Mammal","Rodentia",108,0.000112063129961564,0.000112045041272351,0.000112063129961564,NA,0.000189,"Herbivore","Eutherian","2439321"
"361","Myodes gapperi",2424,1,1,"Mammal","Rodentia",27,0.000270940931245403,0.000251358324196157,0.000270940931245403,NA,0.00116,"Herbivore","Eutherian","5706760"
"362","Myoprocta acouchy",2006,1,1,"Mammal","Lagomorpha",552,2.41038888908e-05,1.66652338418423e-05,NA,2.41038888908e-05,8.6e-06,"Herbivore","Eutherian","2437590"
"363","Myopus schisticolor",2527,1,1,"Mammal","Rodentia",30,8.874e-05,3.97652889512846e-05,4.2620111836689e-05,8.874e-05,0.00017,"Herbivore","Eutherian","2439358"
"364","Myrmecophaga tridactyla",187,1,9,"Mammal","Xenarthra",23500,2.0311666662e-06,2.42841492922122e-06,1.8520882014475e-06,2.0311666662e-06,1.4e-07,"Omnivore","Eutherian","2436346"
"365","Naemorhedus goral",131,1,1,"Mammal","Artiodactyla",26000,1.40024265316212e-05,1.04997224682856e-05,1.40024265316212e-05,NA,3.30553666666667e-07,"Herbivore","Eutherian","2441016"
"366","Nandinia binotata",1619,1,9,"Mammal","Carnivora",2950,1.73199999996e-05,1.64777354469196e-05,2.46617743574998e-05,1.73199999996e-05,3.6e-06,"Omnivore","Eutherian","2433489"
"367","Nasua narica",2528,1,2,"Mammal","Rodentia",9070,1.07728e-05,2.35412661027839e-05,1.8628258675368e-05,1.07728e-05,1.6e-06,"Carnivore","Eutherian","2433531"
"368","Nasua nasua",1620,1,9,"Mammal","Carnivora",3880,8.42244444478e-05,8.24092963608294e-05,0.000127393170335669,8.42244444478e-05,1.51e-05,"Omnivore","Eutherian","2433536"
"369","Neacomys guianae",2529,1,1,"Mammal","Rodentia",17.8,5.47247915286175e-06,4.96400037656665e-06,5.47247915286175e-06,NA,3.1e-05,"Herbivore","Eutherian","2439289"
"370","Neacomys spp.",2007,1,1,"Mammal","Lagomorpha",20,6.97064488489206e-05,6.97064488489206e-05,NA,NA,4e-04,"Herbivore","Eutherian","2439287"
"371","Neofiber alleni",2530,1,1,"Mammal","Rodentia",254,0.01193833333004,0.0108976138054009,0.0104074751499533,0.01193833333004,0.00988,"Herbivore","Eutherian","2438050"
"372","Neotoma floridana",2531,1,1,"Mammal","Rodentia",250,0.000145909611780559,0.00015265030354708,0.000145909611780559,NA,0.00014,"Herbivore","Eutherian","2438444"
"373","Neotoma fuscipes",2532,1,1,"Mammal","Rodentia",248,7.6466666646e-05,0.000100813817194684,9.64039121978582e-05,7.6466666646e-05,9.3e-05,"Herbivore","Eutherian","2438455"
"374","Neotoma lepida",2533,1,1,"Mammal","Rodentia",130,0.0007406,0.00109197812901268,0.00108127457019417,0.0007406,0.00161,"Herbivore","Eutherian","2438438"
"375","Neotoma micropus",2534,1,1,"Mammal","Rodentia",260,0.00171207289979753,0.00179496433395765,0.00171207289979753,NA,0.0016,"Herbivore","Eutherian","2438439"
"376","Neotragus batesi",869,1,1,"Mammal","Artiodactyla",2650,1.14881131585882e-05,9.07889417231164e-06,1.14881131585882e-05,NA,1.5e-06,"Herbivore","Eutherian","2441072"
"377","Notiomys macronyx",2535,1,2,"Mammal","Rodentia",70.9,0.000132718327398822,0.000121177521605673,0.000132718327398822,NA,0.000297,"Carnivore","Eutherian","12325206"
"378","Notiomys valdivianus",2536,1,2,"Mammal","Rodentia",27.1,1.05367835245567e-05,9.02017302826613e-06,1.05367835245567e-05,NA,4.5e-05,"Carnivore","Eutherian","12360271"
"379","Ochotona princeps",2008,1,1,"Mammal","Lagomorpha",154,0.000519250000248,0.000427995726385765,NA,0.000519250000248,0.000558,"Herbivore","Eutherian","2436982"
"380","Ochrotomys nuttalli",2537,1,1,"Mammal","Rodentia",21,5.265e-05,6.33728902851737e-05,6.92434443941734e-05,5.265e-05,0.000351,"Herbivore","Eutherian","2438565"
"381","Octodon degus",2538,1,1,"Mammal","Rodentia",218,0.013412,0.0138201462934756,0.0133079444636432,0.013412,0.014,"Herbivore","Eutherian","5219900"
"382","Odocoileus hemionus",870,1,1,"Mammal","Artiodactyla",89300,0.00106741678762752,0.000778006722165091,0.00106741678762752,NA,1e-05,"Herbivore","Eutherian","2440974"
"383","Odocoileus virginianus",132,1,1,"Mammal","Artiodactyla",68758.3333333333,0.0004099221,0.000279739006453366,0.000381498299764648,0.0004099221,4.347e-06,"Herbivore","Eutherian","2440965"
"384","Oenomys hypoxanthus",133,1,1,"Mammal","Rodentia",82.5,0.00212896528534611,0.00209788705420182,0.00212896528534611,NA,0.004303,"Herbivore","Eutherian","2438923"
"385","Okapia johnstoni",883,1,1,"Mammal","Artiodactyla",250000,9.23131018110875e-05,6.57097217084519e-05,9.23131018110875e-05,NA,4e-07,"Herbivore","Eutherian","2441207"
"386","Onychomys torridus",2541,1,9,"Mammal","Rodentia",23.8,4.8183333366e-05,6.09647823568554e-05,6.30880677313691e-05,4.8183333366e-05,0.000294,"Omnivore","Eutherian","2438516"
"387","Oreotragus oreotragus",134,1,1,"Mammal","Artiodactyla",13144.4444444444,1.83882936413143e-05,1.40064883084318e-05,1.83882936413143e-05,NA,7.23531111111111e-07,"Herbivore","Eutherian","2441044"
"388","Oryctolagus cuniculus",2009,1,1,"Mammal","Lagomorpha",1640,0.000968745,0.000559645633458873,NA,0.000968745,0.000131,"Herbivore","Eutherian","2436940"
"389","Oryromys simplex",2542,1,1,"Mammal","Rodentia",40,0.000517098664326706,0.000490015328098646,0.000517098664326706,NA,0.0017,"Herbivore","Eutherian",NA
"390","Oryx beisa",135,1,1,"Mammal","Artiodactyla",162000,3.68280141547231e-05,2.64775843479017e-05,3.68280141547231e-05,NA,2.20854e-07,"Herbivore","Eutherian","5706393"
"391","Oryx gazella",903,1,1,"Mammal","Artiodactyla",167000,0.000127944666437217,9.19218193980725e-05,0.000127944666437217,NA,7.5e-07,"Herbivore","Eutherian","5220166"
"392","Oryzomys bauri",2543,1,1,"Mammal","Rodentia",65,0.000969495487750654,0.00094312253755827,0.000969495487750654,NA,0.0023,"Herbivore","Eutherian","5786855"
"393","Oryzomys bicolor",2544,1,1,"Mammal","Rodentia",49,1.75007098018084e-05,1.67668416010327e-05,1.75007098018084e-05,NA,5.02e-05,"Herbivore","Eutherian","8387085"
"394","Oryzomys capito",2545,1,1,"Mammal","Rodentia",42,0.000167215039540502,0.00015887508919628,0.000167215039540502,NA,0.000532,"Herbivore","Eutherian","2438089"
"395","Oryzomys concolor",2546,1,1,"Mammal","Rodentia",35,3.58710109499562e-05,3.37480202291633e-05,3.58710109499562e-05,NA,0.000129,"Herbivore","Eutherian","5786873"
"396","Oryzomys eliurus",2547,1,1,"Mammal","Rodentia",40,0.000319384469142966,0.000302656526178576,0.000319384469142966,NA,0.00105,"Herbivore","Eutherian","2438064"
"397","Oryzomys longicaudatus",2548,1,1,"Mammal","Rodentia",30,0.000155438054933807,0.000145026347939979,0.000155438054933807,NA,0.00062,"Herbivore","Eutherian","12381173"
