,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Trophic,Group,rmax
39,1,1,Mammal,Artiodactyla,Bos gaurus,850000,129751.5565,Herbivore,Eutherian,0.15264889
40,1,1,Mammal,Artiodactyla,Bos grunniens,667000,136000,Herbivore,Eutherian,0.203898051
41,1,1,Mammal,Artiodactyla,Bos javanicus,7e+05,162000,Herbivore,Eutherian,0.231428571
952,1,1,Mammal,Artiodactyla,Bos taurus,526865.7897,284507.5264,Herbivore,Eutherian,0.54
963,1,1,Mammal,Artiodactyla,Bos taurus,526865.7897,284507.5264,Herbivore,Eutherian,0.54
971,1,1,Mammal,Artiodactyla,Boselaphus tragocamelus,180000,50900,Herbivore,Eutherian,0.282777778
102,1,1,Mammal,Artiodactyla,Bubalus bubalis,725000,219000,Herbivore,Eutherian,0.302068966
51,1,1,Mammal,Artiodactyla,Bubalus depressicornis,155000,35900,Herbivore,Eutherian,0.231612903
52,1,1,Mammal,Artiodactyla,Budorcas taxicolor,180000,43000,Herbivore,Eutherian,0.238888889
53,1,1,Mammal,Artiodactyla,Camelus bactrianus,475000,60900,Herbivore,Eutherian,0.128210526
126,1,1,Mammal,Artiodactyla,Camelus dromedarius,450000,121430.1049,Herbivore,Eutherian,0.269844678
57,1,1,Mammal,Artiodactyla,Capra cylindricornis,50000,12100,Herbivore,Eutherian,0.242
1331,1,1,Mammal,Artiodactyla,Capra hircus,61000,22100,Herbivore,Eutherian,0.362295082
134,1,1,Mammal,Artiodactyla,Capra ibex,82500,18000,Herbivore,Eutherian,0.218181818
135,1,1,Mammal,Artiodactyla,Capreolus capreolus,21042.62908,10100.46196,Herbivore,Eutherian,0.48
67,1,1,Mammal,Artiodactyla,Capreolus pygargus,39450,49044.29227,Herbivore,Eutherian,1.243201325
68,1,1,Mammal,Artiodactyla,Capricornis crispus,80000,16800,Herbivore,Eutherian,0.21
69,1,1,Mammal,Artiodactyla,Capricornis sumatraensis,95000,20900,Herbivore,Eutherian,0.22
70,1,1,Mammal,Artiodactyla,Cephalophus maxwelli,8000,4400,Herbivore,Eutherian,0.55
71,1,1,Mammal,Artiodactyla,Cephalophus silvicultor,62500,20512.5,Herbivore,Eutherian,0.3282
72,1,1,Mammal,Artiodactyla,Cervus duvaucelii,159000,31533.42378,Herbivore,Eutherian,0.19832342
158,1,1,Mammal,Artiodactyla,Cervus elaphus,220000,52713.3442,Herbivore,Eutherian,0.23960611
83,1,1,Mammal,Artiodactyla,Cervus nippon,42000,11000,Herbivore,Eutherian,0.261904762
84,1,1,Mammal,Artiodactyla,Cervus unicolor,212000,47820.08528,Herbivore,Eutherian,0.22556644
184,1,1,Mammal,Artiodactyla,Connochaetes taurinus,180426.3652,50519.38226,Herbivore,Eutherian,0.28
89,1,1,Mammal,Artiodactyla,Connochaetus taurinus,163000,32409.72521,Herbivore,Eutherian,0.19883267
2094,1,1,Mammal,Artiodactyla,Dama dama,39000,22924.14965,Herbivore,Eutherian,0.587798709
21010,1,1,Mammal,Artiodactyla,Damaliscus lunatus,118658.8131,34648.37343,Herbivore,Eutherian,0.292
95,1,1,Mammal,Artiodactyla,Damaliscus pygargus,84500,22400,Herbivore,Eutherian,0.265088757
96,1,1,Mammal,Artiodactyla,Dicotyles pecari,33500,10385,Herbivore,Eutherian,0.31
97,1,1,Mammal,Artiodactyla,Elaphurus davidianus,186500,41900,Herbivore,Eutherian,0.224664879
98,1,1,Mammal,Artiodactyla,Eudorcas thomsonii,25000,9190,Herbivore,Eutherian,0.3676
99,1,1,Mammal,Artiodactyla,Gazella cuvieri,17500,7540,Herbivore,Eutherian,0.430857143
287,1,1,Mammal,Artiodactyla,Gazella dorcas,12600,8272.727273,Herbivore,Eutherian,0.656565657
103,1,1,Mammal,Artiodactyla,Gazella gazella,23250,7960,Herbivore,Eutherian,0.342365591
104,1,1,Mammal,Artiodactyla,Gazella granti,45000,8824.8789,Herbivore,Eutherian,0.19610842
288,1,1,Mammal,Artiodactyla,Gazella subgutturosa,25500,19478.57143,Herbivore,Eutherian,0.763865546
289,1,1,Mammal,Artiodactyla,Gazella thomsoni,20900,9823,Herbivore,Eutherian,0.47
294,1,1,Mammal,Artiodactyla,Giraffa camelopardalis,800018.4449,112002.5823,Herbivore,Eutherian,0.14
111,1,1,Mammal,Artiodactyla,Giraffe camelopardalis,750000,75748.32,Herbivore,Eutherian,0.10099776
3081,1,1,Mammal,Artiodactyla,Hemitragus hylocrius,90000,30696.093,Herbivore,Eutherian,0.3410677
309,1,1,Mammal,Artiodactyla,Hemitragus jemlahicus,35595.9018,9966.852504,Herbivore,Eutherian,0.28
116,1,1,Mammal,Artiodactyla,Hexaprotodon liberiensis,215000,25000,Herbivore,Eutherian,0.11627907
311,1,1,Mammal,Artiodactyla,Hippopotamus amphibius,3750000,561000,Herbivore,Eutherian,0.1496
312,1,1,Mammal,Artiodactyla,Hippotragus equinus,260000,61866.0406,Herbivore,Eutherian,0.23794631
313,1,1,Mammal,Artiodactyla,Hippotragus niger,225000,51700,Herbivore,Eutherian,0.229777778
3261,1,1,Mammal,Artiodactyla,Kobus ellipsiprymnus,143152.8504,41514.32662,Herbivore,Eutherian,0.29
128,1,1,Mammal,Artiodactyla,Kobus kob,105000,33200,Herbivore,Eutherian,0.316190476
129,1,1,Mammal,Artiodactyla,Kobus megaceros,90000,21300,Herbivore,Eutherian,0.236666667
130,1,1,Mammal,Artiodactyla,Lama glama,140000,31300,Herbivore,Eutherian,0.223571429
131,1,1,Mammal,Artiodactyla,Lama guanicoe,127500,21200,Herbivore,Eutherian,0.16627451
132,1,1,Mammal,Artiodactyla,Litocranius walleri,43500,15700,Herbivore,Eutherian,0.36091954
133,1,1,Mammal,Artiodactyla,Madoqua guentheri,4550,5651,Herbivore,Eutherian,1.241978022
390,1,1,Mammal,Artiodactyla,Madoqua kirkii,5377,3495.05,Herbivore,Eutherian,0.65
398,1,1,Mammal,Artiodactyla,Mazama americana,33000,10600,Herbivore,Eutherian,0.321212121
141,1,1,Mammal,Artiodactyla,Mazama gouazoubira,16500,1980,Herbivore,Eutherian,0.12
142,1,1,Mammal,Artiodactyla,Mazama gouazoupira,16998.08513,8329.061714,Herbivore,Eutherian,0.49
143,1,1,Mammal,Artiodactyla,Moschiola meminna,5000,3229.2485,Herbivore,Eutherian,0.6458497
437,1,1,Mammal,Artiodactyla,Muntiacus muntjak,21000,8730,Herbivore,Eutherian,0.415714286
4381,1,1,Mammal,Artiodactyla,Muntiacus reevesi,18000,6860,Herbivore,Eutherian,0.381111111
455,1,1,Mammal,Artiodactyla,Naemorhedus goral,31750,8240,Herbivore,Eutherian,0.259527559
475,1,1,Mammal,Artiodactyla,Odocoileus hemionus,55766.66667,29665.77689,Herbivore,Eutherian,0.531962526
476,1,1,Mammal,Artiodactyla,Odocoileus virginianus,57000,57671.50864,Herbivore,Eutherian,1.011780853
159,1,1,Mammal,Artiodactyla,Okapia johnstoni,225000,45700,Herbivore,Eutherian,0.203111111
160,1,1,Mammal,Artiodactyla,Oreamnos americanus,90000,22300,Herbivore,Eutherian,0.247777778
4841,1,1,Mammal,Artiodactyla,Oreotragus oreotragus,13000,4343.22954,Herbivore,Eutherian,0.33409458
163,1,1,Mammal,Artiodactyla,Oryx beisa,162000,40780.50948,Herbivore,Eutherian,0.25173154
164,1,1,Mammal,Artiodactyla,Oryx gazella,170000,49700,Herbivore,Eutherian,0.292352941
488,1,1,Mammal,Artiodactyla,Oryx leucoryx,147808.7009,37247.79263,Herbivore,Eutherian,0.252
4921,1,1,Mammal,Artiodactyla,Ourebia ourebi,17000,6380,Herbivore,Eutherian,0.375294118
4931,1,1,Mammal,Artiodactyla,Ovibos moschatus,315000,57700,Herbivore,Eutherian,0.183174603
171,1,1,Mammal,Artiodactyla,Ovis ammon,160000,44600,Herbivore,Eutherian,0.27875
4941,1,1,Mammal,Artiodactyla,Ovis aries,80000,27600,Herbivore,Eutherian,0.345
495,1,1,Mammal,Artiodactyla,Ovis canadensis,71000,29680,Herbivore,Eutherian,0.418028169
496,1,1,Mammal,Artiodactyla,Ovis dalli,73100,18000,Herbivore,Eutherian,0.24623803
181,1,1,Mammal,Artiodactyla,Ozotoceros bezoarticus,32500,9100,Herbivore,Eutherian,0.28
515,1,1,Mammal,Artiodactyla,Pecari tajacu,19032.68238,23790.85298,Herbivore,Eutherian,1.25
536,1,1,Mammal,Artiodactyla,Phacochoerus africanus,1e+05,55200,Herbivore,Eutherian,0.552
186,1,1,Mammal,Artiodactyla,Philantomba maxwellii,7000,1720,Herbivore,Eutherian,0.245714286
187,1,1,Mammal,Artiodactyla,Philantomba monticola,6250,2020,Herbivore,Eutherian,0.3232
188,1,1,Mammal,Artiodactyla,Potamochoerus larvatus,70000,31829.9849,Herbivore,Eutherian,0.45471407
189,1,1,Mammal,Artiodactyla,Potamochoerus porcus,88000,32400,Herbivore,Eutherian,0.368181818
190,1,1,Mammal,Artiodactyla,Procapra gutturosa,30000,8970,Herbivore,Eutherian,0.299
191,1,1,Mammal,Artiodactyla,Przewalskium albirostre,135000,31700,Herbivore,Eutherian,0.234814815
192,1,1,Mammal,Artiodactyla,Pudu pudu,8200,3854,Herbivore,Eutherian,0.47
592,1,1,Mammal,Artiodactyla,Rangifer tarandus,113005.609,57632.86059,Herbivore,Eutherian,0.51
5931,1,1,Mammal,Artiodactyla,Raphicerus campestris,13000,5370,Herbivore,Eutherian,0.413076923
206,1,1,Mammal,Artiodactyla,Raphicerus sharpei,9200,3108.611092,Herbivore,Eutherian,0.33789251
5981,1,1,Mammal,Artiodactyla,Redunca fulvorufula,29300,9962,Herbivore,Eutherian,0.34
209,1,1,Mammal,Artiodactyla,Redunca redunca,40000,7760.362,Herbivore,Eutherian,0.19400905
210,1,1,Mammal,Artiodactyla,Rucervus eldii,122500,31500,Herbivore,Eutherian,0.257142857
211,1,1,Mammal,Artiodactyla,Rupicapra pyrenaica,23999.37877,5903.847177,Herbivore,Eutherian,0.246
212,1,1,Mammal,Artiodactyla,Rupicapra rupicapra,37500,9410,Herbivore,Eutherian,0.250933333
213,1,1,Mammal,Artiodactyla,Rusa timorensis,63000,16500,Herbivore,Eutherian,0.261904762
214,1,1,Mammal,Artiodactyla,Rusa unicolor,185000,45400,Herbivore,Eutherian,0.245405405
215,1,1,Mammal,Artiodactyla,Saiga tatarica,29000,24196.875,Herbivore,Eutherian,0.834375
6621,1,1,Mammal,Artiodactyla,Sus scrofa,130000,128000,Herbivore,Eutherian,0.984615385
6631,1,1,Mammal,Artiodactyla,Sylvicapra grimmia,16993,9176.22,Herbivore,Eutherian,0.54
6651,1,1,Mammal,Artiodactyla,Syncerus caffer,488750,229712.5,Herbivore,Eutherian,0.47
6721,1,1,Mammal,Artiodactyla,Taurotragus oryx,5e+05,131000,Herbivore,Eutherian,0.262
231,1,1,Mammal,Artiodactyla,Tayassu pecari,31038.44819,26072.29648,Herbivore,Eutherian,0.84
232,1,1,Mammal,Artiodactyla,Tayassu tajacu,19000,7790,Herbivore,Eutherian,0.41
675,1,1,Mammal,Artiodactyla,Tetracerus quadricornis,27000,10839.17079,Herbivore,Eutherian,0.40145077
6861,1,1,Mammal,Artiodactyla,Tragelaphus angasii,120000,35700,Herbivore,Eutherian,0.2975
237,1,1,Mammal,Artiodactyla,Tragelaphus eurycerus,307500,55400,Herbivore,Eutherian,0.180162602
238,1,1,Mammal,Artiodactyla,Tragelaphus imberbis,82500,24900,Herbivore,Eutherian,0.301818182
687,1,1,Mammal,Artiodactyla,Tragelaphus scriptus,60000,20100,Herbivore,Eutherian,0.335
242,1,1,Mammal,Artiodactyla,Tragelaphus spekii,87500,23700,Herbivore,Eutherian,0.270857143
688,1,1,Mammal,Artiodactyla,Tragelaphus strepsiceros,204456.0659,78715.58537,Herbivore,Eutherian,0.385
246,1,1,Mammal,Artiodactyla,Tragulus javanicus,1460,759.2,Herbivore,Eutherian,0.52
247,1,1,Mammal,Artiodactyla,Tragulus napu,6500,2130,Herbivore,Eutherian,0.327692308
248,1,1,Mammal,Artiodactyla,Vicugna vicugna,50000,9240,Herbivore,Eutherian,0.1848
5,1,2,Mammal,Carnivora,Acinonyx jubatus,53500,23700,Carnivore,Eutherian,0.442990654
14,1,1,Mammal,Carnivora,Ailuropoda melanoleuca,117500,19900,Herbivore,Eutherian,0.169361702
15,1,2,Mammal,Carnivora,Ailurus fulgens,4900,2303.676923,Carnivore,Eutherian,0.470138148
256,1,2,Mammal,Carnivora,Alopex lagopus,4238.381058,6060.884913,Carnivore,Eutherian,1.43
54,1,2,Mammal,Carnivora,Arctictis binturong,13000,11097.33333,Carnivore,Eutherian,0.853641025
259,1,2,Mammal,Carnivora,Arctocephalus australis,110000,23100,Carnivore,Eutherian,0.21
56,1,2,Mammal,Carnivora,Arctocephalus gazella,40500,14703.1907,Carnivore,Eutherian,0.363041746
5710,1,2,Mammal,Carnivora,Arctocephalus pusillus,127551,24400,Carnivore,Eutherian,0.191296031
266,1,2,Mammal,Carnivora,Arctocephalus tropicalis,55004.72529,4125.354397,Carnivore,Eutherian,0.075
267,1,2,Mammal,Carnivora,Arctogalidia trivirgata,2250,1050,Carnivore,Eutherian,0.466666667
268,1,2,Mammal,Carnivora,Bassaricus sumichrasti,1100,209,Carnivore,Eutherian,0.19
85,1,2,Mammal,Carnivora,Bassaricyon gabbii,1235,605.15,Carnivore,Eutherian,0.49
86,1,2,Mammal,Carnivora,Bassariscus astutus,870,913.5,Carnivore,Eutherian,1.05
123,1,2,Mammal,Carnivora,Callorhinus ursinus,45133.33333,11498.8,Carnivore,Eutherian,0.254774003
1286,1,2,Mammal,Carnivora,Canis adustus,10250,10100,Carnivore,Eutherian,0.985365854
1292,1,2,Mammal,Carnivora,Canis aureus,11000,6470,Carnivore,Eutherian,0.588181818
1304,1,2,Mammal,Carnivora,Canis latrans,13250,11500,Carnivore,Eutherian,0.867924528
1311,1,2,Mammal,Carnivora,Canis lupus,45000,22607.5437,Carnivore,Eutherian,0.50238986
1324,1,2,Mammal,Carnivora,Canis mesomelas,10250,7090,Carnivore,Eutherian,0.691707317
292,1,2,Mammal,Carnivora,Canis simensis,12800,6505.20128,Carnivore,Eutherian,0.50821885
136,1,2,Mammal,Carnivora,Caracal caracal,16000,8600,Carnivore,Eutherian,0.5375
295,1,2,Mammal,Carnivora,Cerdocyon thous,6500,6360,Carnivore,Eutherian,0.978461538
174,1,2,Mammal,Carnivora,Civettictis civetta,13500,10896.32143,Carnivore,Eutherian,0.807134921
298,1,2,Mammal,Carnivora,Conepatus leuconotus,1900,1460,Carnivore,Eutherian,0.768421053
299,1,2,Mammal,Carnivora,Conepatus mesoleucus,2750,2365,Carnivore,Eutherian,0.86
300,1,2,Mammal,Carnivora,Conepatus semistriatus,2450,1935.5,Carnivore,Eutherian,0.79
194,1,2,Mammal,Carnivora,Crocuta crocuta,63000,25492.13511,Carnivore,Eutherian,0.404637065
304,1,2,Mammal,Carnivora,Crossarchus obscurus,790,862,Carnivore,Eutherian,1.091139241
305,1,2,Mammal,Carnivora,Cryptoprocta ferox,9500,3040,Carnivore,Eutherian,0.32
197,1,2,Mammal,Carnivora,Cuon alpinus,15750,11600,Carnivore,Eutherian,0.736507937
308,1,2,Mammal,Carnivora,Cynictis penicillata,598.5,307,Carnivore,Eutherian,0.512949039
207,1,2,Mammal,Carnivora,Cystophora cristata,256448.4037,58983.13285,Carnivore,Eutherian,0.23
2422,1,2,Mammal,Carnivora,Eira barbara,4500,3375,Carnivore,Eutherian,0.75
2466,1,2,Mammal,Carnivora,Enhydra lutris,23500,11850.9278,Carnivore,Eutherian,0.5042948
319,1,2,Mammal,Carnivora,Erignathus barbatus,280000,72666.66667,Carnivore,Eutherian,0.25952381
261,1,2,Mammal,Carnivora,Eumetopias jubatus,310000,76599.47781,Carnivore,Eutherian,0.24709509
269,1,2,Mammal,Carnivora,Felis chaus,10000,15390.15,Carnivore,Eutherian,1.539015
325,1,2,Mammal,Carnivora,Felis margarita,2750,2830,Carnivore,Eutherian,1.029090909
326,1,2,Mammal,Carnivora,Felis nigripes,2125,1790,Carnivore,Eutherian,0.842352941
270,1,2,Mammal,Carnivora,Felis silvestris,5500,5290,Carnivore,Eutherian,0.961818182
329,1,2,Mammal,Carnivora,Fossa fossana,1540,387,Carnivore,Eutherian,0.251298701
330,1,2,Mammal,Carnivora,Galerella sanguinea,500,332,Carnivore,Eutherian,0.664
331,1,2,Mammal,Carnivora,Galictis vittata,2350,1010.5,Carnivore,Eutherian,0.43
281,1,2,Mammal,Carnivora,Galidia elegans,800,202,Carnivore,Eutherian,0.2525
334,1,2,Mammal,Carnivora,Genetta genetta,1866.7,673,Carnivore,Eutherian,0.360529276
335,1,2,Mammal,Carnivora,Genetta tigrina,1820,718,Carnivore,Eutherian,0.394505495
301,1,2,Mammal,Carnivora,Gulo gulo,16069.41253,7391.929764,Carnivore,Eutherian,0.46
306,1,2,Mammal,Carnivora,Halichoerus grypus,167250,73590,Carnivore,Eutherian,0.44
343,1,2,Mammal,Carnivora,Helogale parvula,274.8,217,Carnivore,Eutherian,0.789665211
344,1,2,Mammal,Carnivora,Herpailurus yagouarondi,6500,2080,Carnivore,Eutherian,0.32
345,1,2,Mammal,Carnivora,Herpestes ichneumon,2920,2330,Carnivore,Eutherian,0.797945205
346,1,2,Mammal,Carnivora,Herpestes javanicus,800,566,Carnivore,Eutherian,0.7075
316,1,2,Mammal,Carnivora,Hyaena brunnea,41000,11456.12816,Carnivore,Eutherian,0.27941776
317,1,2,Mammal,Carnivora,Hyaena hyaena,40000,19000,Carnivore,Eutherian,0.475
351,1,2,Mammal,Carnivora,Hydrurga leptonyx,382560.3887,68860.86997,Carnivore,Eutherian,0.18
321,1,2,Mammal,Carnivora,Ictonyx striatus,910,448,Carnivore,Eutherian,0.492307692
354,1,2,Mammal,Carnivora,Leopardus geoffroyi,4000,1970,Carnivore,Eutherian,0.4925
349,1,2,Mammal,Carnivora,Leopardus pardalis,9887.807436,4548.391421,Carnivore,Eutherian,0.46
359,1,2,Mammal,Carnivora,Leopardus tigrinus,2100,651,Carnivore,Eutherian,0.31
360,1,2,Mammal,Carnivora,Leopardus wiedii,3800,836,Carnivore,Eutherian,0.22
3511,1,2,Mammal,Carnivora,Leptailurus serval,13350,7760,Carnivore,Eutherian,0.581273408
363,1,2,Mammal,Carnivora,Leptonychotes weddellii,427759.8315,85551.9663,Carnivore,Eutherian,0.2
3608,1,2,Mammal,Carnivora,Lobodon carcinophagus,250000,120000,Carnivore,Eutherian,0.48
361,1,2,Mammal,Carnivora,Lontra canadensis,4600,3809.310556,Carnivore,Eutherian,0.82811099
368,1,2,Mammal,Carnivora,Lutra longicaudis,5000,1750,Carnivore,Eutherian,0.35
369,1,2,Mammal,Carnivora,Lutra lutra,6750,2790,Carnivore,Eutherian,0.413333333
370,1,2,Mammal,Carnivora,Lycalopex culpaeus,13000,8650,Carnivore,Eutherian,0.665384615
371,1,2,Mammal,Carnivora,Lycalopex gymnocercus,8500,5920,Carnivore,Eutherian,0.696470588
366,1,2,Mammal,Carnivora,Lycaon pictus,26500,18700,Carnivore,Eutherian,0.705660377
367,1,2,Mammal,Carnivora,Lynx canadensis,10100,5720,Carnivore,Eutherian,0.566336634
36810,1,2,Mammal,Carnivora,Lynx lynx,23000,8930,Carnivore,Eutherian,0.38826087
36910,1,2,Mammal,Carnivora,Lynx rufus,8600,4690,Carnivore,Eutherian,0.545348837
396,1,2,Mammal,Carnivora,Martes americana,565,1102.275,Carnivore,Eutherian,1.950929204
386,1,2,Mammal,Carnivora,Martes foina,1700,951,Carnivore,Eutherian,0.559411765
387,1,2,Mammal,Carnivora,Martes martes,1300,830,Carnivore,Eutherian,0.638461538
397,1,2,Mammal,Carnivora,Martes pennanti,3175,1680,Carnivore,Eutherian,0.529133858
407,1,2,Mammal,Carnivora,Meles meles,13000,7560,Carnivore,Eutherian,0.581538462
392,1,2,Mammal,Carnivora,Melursus ursinus,1e+05,13000,Carnivore,Eutherian,0.13
393,1,2,Mammal,Carnivora,Mephitis macroura,1200,1452,Carnivore,Eutherian,1.21
4081,1,2,Mammal,Carnivora,Mephitis mephitis,1886.666667,3202.27544,Carnivore,Eutherian,1.697319138
429,1,2,Mammal,Carnivora,Mirounga angustirostris,1036811.964,217730.5124,Carnivore,Eutherian,0.21
430,1,2,Mammal,Carnivora,Mirounga leonia,499250,111965.3846,Carnivore,Eutherian,0.22426717
402,1,2,Mammal,Carnivora,Mirounga sp.,668833,441429.78,Carnivore,Eutherian,0.66
403,1,2,Mammal,Carnivora,Mungos mungo,1331.5,1050,Carnivore,Eutherian,0.788584303
4411,1,2,Mammal,Carnivora,Mustela erminea,127.5851122,530.7540668,Carnivore,Eutherian,4.16
408,1,2,Mammal,Carnivora,Mustela eversmanii,1350,1380,Carnivore,Eutherian,1.022222222
442,1,2,Mammal,Carnivora,Mustela frenata,153,494.19,Carnivore,Eutherian,3.23
413,1,2,Mammal,Carnivora,Mustela lutreola,590,405,Carnivore,Eutherian,0.686440678
414,1,2,Mammal,Carnivora,Mustela nigripes,1021,594,Carnivore,Eutherian,0.581782566
443,1,2,Mammal,Carnivora,Mustela nivalis,60,327.12,Carnivore,Eutherian,5.452
444,1,2,Mammal,Carnivora,Mustela putorius,747.825035,942.2595441,Carnivore,Eutherian,1.26
445,1,2,Mammal,Carnivora,Mustela vison,746.276902,873.1439753,Carnivore,Eutherian,1.17
426,1,2,Mammal,Carnivora,Nandinia binotata,1900,805,Carnivore,Eutherian,0.423684211
4571,1,2,Mammal,Carnivora,Nasua narica,4600,2300,Carnivore,Eutherian,0.5
4581,1,2,Mammal,Carnivora,Nasua nasua,4750,2420,Carnivore,Eutherian,0.509473684
460,1,2,Mammal,Carnivora,Neophoca cinerea,190000,31600,Carnivore,Eutherian,0.166315789
433,1,2,Mammal,Carnivora,Neovison vison,925,673,Carnivore,Eutherian,0.727567568
467,1,2,Mammal,Carnivora,Nyctereutes procyonoides,4040,7804.15625,Carnivore,Eutherian,1.931721844
474,1,2,Mammal,Carnivora,Odobenus rosmarus,825000,94450.22654,Carnivore,Eutherian,0.114485123
438,1,2,Mammal,Carnivora,Otaria byronia,142003.8111,26980.72411,Carnivore,Eutherian,0.19
439,1,2,Mammal,Carnivora,Otaria flavescens,207500,37800,Carnivore,Eutherian,0.182168675
440,1,2,Mammal,Carnivora,Otocyon megalotis,4150,3720,Carnivore,Eutherian,0.896385542
441,1,2,Mammal,Carnivora,Pagophilus groenlandicus,180000,138600,Carnivore,Eutherian,0.77
500,1,2,Mammal,Carnivora,Panthera leo,175000,64800,Carnivore,Eutherian,0.370285714
501,1,2,Mammal,Carnivora,Panthera onca,81150,20300,Carnivore,Eutherian,0.250154036
502,1,2,Mammal,Carnivora,Panthera pardus,53750,19800,Carnivore,Eutherian,0.368372093
503,1,2,Mammal,Carnivora,Panthera tigris,150000,29695.842,Carnivore,Eutherian,0.19797228
456,1,2,Mammal,Carnivora,Paradoxurus hermaphroditus,3100,2660,Carnivore,Eutherian,0.858064516
457,1,2,Mammal,Carnivora,Parahyaena brunnea,60200,24622.325,Carnivore,Eutherian,0.409008721
458,1,2,Mammal,Carnivora,Phoca caspica,68770.15449,12378.62781,Carnivore,Eutherian,0.18
548,1,2,Mammal,Carnivora,Phoca fasciata,90000,30000,Carnivore,Eutherian,0.333333333
549,1,2,Mammal,Carnivora,Phoca groenlandica,120000,34300,Carnivore,Eutherian,0.285833333
550,1,2,Mammal,Carnivora,Phoca hispida,74834.17927,11973.46868,Carnivore,Eutherian,0.16
465,1,2,Mammal,Carnivora,Phoca largha,89433.45319,17886.69064,Carnivore,Eutherian,0.2
466,1,2,Mammal,Carnivora,Phoca sibirica,90000,67569,Carnivore,Eutherian,0.750766667
551,1,2,Mammal,Carnivora,Phoca vitulina,115000,24000,Carnivore,Eutherian,0.208695652
473,1,2,Mammal,Carnivora,Poecilogale albinucha,256.6666667,137.5,Carnivore,Eutherian,0.535714286
573,1,2,Mammal,Carnivora,Potos flavus,2587.021273,776.1063819,Carnivore,Eutherian,0.3
477,1,2,Mammal,Carnivora,Prionailurus bengalensis,5000,3850,Carnivore,Eutherian,0.77
478,1,2,Mammal,Carnivora,Procyon cancrivorus,5000,2850,Carnivore,Eutherian,0.57
576,1,2,Mammal,Carnivora,Procyon lotor,6100,4069.655172,Carnivore,Eutherian,0.667156586
483,1,2,Mammal,Carnivora,Procyon pygmaeus,2200,1628,Carnivore,Eutherian,0.74
484,1,2,Mammal,Carnivora,Proteles cristatus,8500,4355.44114,Carnivore,Eutherian,0.51240484
582,1,2,Mammal,Carnivora,Pteronura brasiliensis,24000,7630,Carnivore,Eutherian,0.317916667
588,1,2,Mammal,Carnivora,Puma concolor,63000,15700,Carnivore,Eutherian,0.249206349
492,1,2,Mammal,Carnivora,Puma yagouaroundi,7000,3430,Carnivore,Eutherian,0.49
493,1,2,Mammal,Carnivora,Pusa hispida,90000,15500,Carnivore,Eutherian,0.172222222
494,1,2,Mammal,Carnivora,Pusa sibirica,90000,14600,Carnivore,Eutherian,0.162222222
6401,1,2,Mammal,Carnivora,Speothos venaticus,6000,6240,Carnivore,Eutherian,1.04
641,1,2,Mammal,Carnivora,Spilogale putorius,511.5,1545.142857,Carnivore,Eutherian,3.02080715
6611,1,2,Mammal,Carnivora,Suricata suricatta,769.6666667,774.1736111,Carnivore,Eutherian,1.005855709
673,1,2,Mammal,Carnivora,Taxidea taxus,6385,6448.85,Carnivore,Eutherian,1.01
705,1,2,Mammal,Carnivora,Uncia uncia,50000,18300,Carnivore,Eutherian,0.366
7081,1,2,Mammal,Carnivora,Urocyon cinereoargenteus,4750,3210,Carnivore,Eutherian,0.675789474
