"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group"
"55",1,2,"Mammal","Carnivora","Canis aureus",10089.2857142857,6.87861777797632e-06,6.27770741539782e-06,6.87861777797632e-06,NA,3.94375721428571e-07,"Carnivore","Eutherian"
"56",1,2,"Mammal","Carnivora","Canis lupus",45010.5263157895,1.67411807155493e-06,1.7843229212904e-06,2.01749324191291e-06,1.67411807155493e-06,3.71224210526316e-08,"Carnivore","Eutherian"
"1459",1,2,"Mammal","Carnivora","Canis mesomelas",8160,4.75855555656e-05,3.0752860283387e-05,3.35467186807853e-05,4.75855555656e-05,2.26e-06,"Carnivore","Eutherian"
"1460",1,2,"Mammal","Carnivora","Canis simensis",10000,3.46487109981247e-05,3.16277315802806e-05,3.46487109981247e-05,NA,2e-06,"Carnivore","Eutherian"
"1461",1,2,"Mammal","Carnivora","Cants latrans",14000,6.62225812927757e-06,6.00230939921777e-06,6.62225812927757e-06,NA,2.96e-07,"Carnivore","Eutherian"
"1462",1,9,"Mammal","Carnivora","Civecttictis civetta",12375,5.70360545985417e-05,3.2176688451138e-05,5.70360545985417e-05,NA,2.8e-06,"Omnivore","Eutherian"
"57",1,2,"Mammal","Carnivora","Conepatus semistriatus",1750,5.65441271931246e-05,5.35383111602226e-05,5.65441271931246e-05,NA,1.2275e-05,"Carnivore","Eutherian"
"58",1,2,"Mammal","Carnivora","Crocuta crocuta",49079.0697674419,1.90393925294354e-05,1.68083555667678e-05,1.90393925294354e-05,NA,3.28030930232558e-07,"Carnivore","Eutherian"
"1508",1,2,"Mammal","Carnivora","Cryptoprocta ferox",9500,1.66619960421994e-05,1.52256482743469e-05,1.66619960421994e-05,NA,1e-06,"Carnivore","Eutherian"
"59",1,2,"Mammal","Carnivora","Cuon alpinus",16000,8.04254362347078e-06,7.2692209126496e-06,8.04254362347078e-06,NA,3.2479187131579e-07,"Carnivore","Eutherian"
"1547",1,2,"Mammal","Carnivora","Dusicyon thous",6500,4.99495096706166e-05,4.60088110616542e-05,4.99495096706166e-05,NA,4e-06,"Carnivore","Eutherian"
"180",1,9,"Mammal","Carnivora","Eira barbara",4490,1.02165e-05,8.99089034321169e-06,1.4140200422489e-05,1.02165e-05,1.5e-06,"Omnivore","Eutherian"
"60",1,2,"Mammal","Carnivora","Felis concolor",48250,3.43768673846321e-06,3.03594442214116e-06,3.43768673846321e-06,NA,6e-08,"Carnivore","Eutherian"
"1552",1,2,"Mammal","Carnivora","Felis onca",85500,8.85016431752654e-07,7.72255495452607e-07,8.85016431752654e-07,NA,1e-08,"Carnivore","Eutherian"
"61",1,2,"Mammal","Carnivora","Felis pardalis",12030,1.046690463145e-05,9.5172976230804e-06,1.046690463145e-05,NA,5.25e-07,"Carnivore","Eutherian"
"1555",1,2,"Mammal","Carnivora","Felis sylvestris",4380,3.82981461434402e-06,3.55703187909725e-06,3.82981461434402e-06,NA,4.14e-07,"Carnivore","Eutherian"
"62",1,2,"Mammal","Carnivora","Felis yagouaroundi",6240,7.44513352262241e-06,6.86364125921399e-06,7.44513352262241e-06,NA,6.15e-07,"Carnivore","Eutherian"
"1558",1,2,"Mammal","Carnivora","Fossa fossana",1800,1.9337087e-05,1.71453027981632e-05,1.81186118090868e-05,1.9337087e-05,3.85e-06,"Carnivore","Eutherian"
"63",1,2,"Mammal","Carnivora","Galictis vittata",3855,2.01486920529579e-05,1.87638221966895e-05,2.01486920529579e-05,NA,2.4e-06,"Carnivore","Eutherian"
"1561",1,2,"Mammal","Carnivora","Galidia elegans",820,1.55348428802727e-05,1.49450625134273e-05,1.55348428802727e-05,NA,6e-06,"Carnivore","Eutherian"
"1562",1,2,"Mammal","Carnivora","Genetta genetta",1780,9.93930212717034e-06,9.40758246247681e-06,9.93930212717034e-06,NA,2.13e-06,"Carnivore","Eutherian"
"1563",1,2,"Mammal","Carnivora","Genetta servalina",2500,7.248910531776e-06,6.8123501319263e-06,7.248910531776e-06,NA,1.2e-06,"Carnivore","Eutherian"
"1564",1,2,"Mammal","Carnivora","Genetta victoriae",3500,3.1203893860633e-06,2.91181865975345e-06,3.1203893860633e-06,NA,4e-07,"Carnivore","Eutherian"
"1565",1,2,"Mammal","Carnivora","Herpestes sanguineus",525,2.76738394214011e-06,2.68736732854033e-06,2.76738394214011e-06,NA,1.5e-06,"Carnivore","Eutherian"
"64",1,2,"Mammal","Carnivora","Hyaena brunnea",41000,3.03266058977424e-06,2.68742472377483e-06,3.03266058977424e-06,NA,5.99033333333333e-08,"Carnivore","Eutherian"
"65",1,2,"Mammal","Carnivora","Hyaena hyaena",30000,5.81890227e-06,6.48635712903275e-06,7.27175839903652e-06,5.81890227e-06,1.82125266666667e-07,"Carnivore","Eutherian"
"1587",1,2,"Mammal","Carnivora","Ichneumia albicauda",3700,1.57053531456193e-05,1.46384951032164e-05,1.57053531456193e-05,NA,1.93e-06,"Carnivore","Eutherian"
"1588",1,2,"Mammal","Carnivora","Lutra perspillata",5000,5.11498417709724e-05,4.73747450964398e-05,5.11498417709724e-05,NA,5e-06,"Carnivore","Eutherian"
"66",1,2,"Mammal","Carnivora","Lycaon pictus",20030.4347826087,5.78019452173913e-07,4.62683664348704e-07,5.14326264627821e-07,5.78019452173913e-07,1.75104347826087e-08,"Carnivore","Eutherian"
"1612",1,2,"Mammal","Carnivora","Lynx canadensis",10200,2.28631765399237e-06,2.08610866946358e-06,2.28631765399237e-06,NA,1.3e-07,"Carnivore","Eutherian"
"1613",1,2,"Mammal","Carnivora","Lynx lynx",28600,1.65563167928825e-06,1.47829464172646e-06,1.65563167928825e-06,NA,4.3e-08,"Carnivore","Eutherian"
"1614",1,2,"Mammal","Carnivora","Martes americana",883,4.2948e-06,3.15707031478696e-06,3.28676359307023e-06,4.2948e-06,1.2e-06,"Carnivore","Eutherian"
"1615",1,2,"Mammal","Carnivora","Martes pennanti",3250,1.73283137816317e-06,1.61952521734076e-06,1.73283137816317e-06,NA,2.35e-07,"Carnivore","Eutherian"
"1616",1,2,"Mammal","Carnivora","Mungotictis decemlineata",670,1.82090710040198e-05,1.75922415823492e-05,1.82090710040198e-05,NA,8.2e-06,"Carnivore","Eutherian"
"1617",1,2,"Mammal","Carnivora","Mustela erminea",78.9,1.343628e-05,4.64950078362495e-06,4.60112445500973e-06,1.343628e-05,1.053e-05,"Carnivore","Eutherian"
"1618",1,2,"Mammal","Carnivora","Mustela nivalis",80,3.5399999988e-05,1.6059205289099e-05,1.58967365838103e-05,3.5399999988e-05,3.6e-05,"Carnivore","Eutherian"
"1619",1,9,"Mammal","Carnivora","Nandinia binotata",2950,1.73199999996e-05,1.64777354469196e-05,2.46617743574998e-05,1.73199999996e-05,3.6e-06,"Omnivore","Eutherian"
"1620",1,9,"Mammal","Carnivora","Nasua nasua",3880,8.42244444478e-05,8.24092963608294e-05,0.000127393170335669,8.42244444478e-05,1.51e-05,"Omnivore","Eutherian"
"68",1,2,"Mammal","Carnivora","Panthera leo",126533.333333333,1.27087933189665e-05,1.38654427449792e-05,1.6021349113527e-05,1.27087933189665e-05,1.34389777777778e-07,"Carnivore","Eutherian"
"1666",1,2,"Mammal","Carnivora","Panthera onca",68750,6.240833333e-06,6.57328671491054e-06,7.49867171250988e-06,6.240833333e-06,1e-07,"Carnivore","Eutherian"
"69",1,2,"Mammal","Carnivora","Panthera pardus",37119.2,3.06587086437231e-06,2.72253360593156e-06,3.06587086437231e-06,NA,6.53133304e-08,"Carnivore","Eutherian"
