"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"149",1,1,"Mammal","Artiodactyla","Naemorhedus caudatus",27000,0.123152709,"Herbivore","Eutherian",8.1200000237104
"150",1,1,"Mammal","Artiodactyla","Naemorhedus goral",31750,0.142045455,"Herbivore","Eutherian",7.039999977472
"151",1,1,"Mammal","Artiodactyla","Nanger dama",73000,0.129533679,"Herbivore","Eutherian",7.7199999854864
"152",1,1,"Mammal","Artiodactyla","Nanger granti",67000,0.126903553,"Herbivore","Eutherian",7.8800000185968
"153",1,1,"Mammal","Artiodactyla","Nanger soemmerringii",48500,0.161290323,"Herbivore","Eutherian",6.19999998388
"154",1,1,"Mammal","Artiodactyla","Neotragus moschatus",6500,0.185185185,"Herbivore","Eutherian",5.4000000054
"155",1,1,"Mammal","Artiodactyla","Neotragus pygmaeus",2250,0.225225225,"Herbivore","Eutherian",4.44000000444
"156",1,1,"Mammal","Artiodactyla","Odocoileus hemionus",57000,0.113636364,"Herbivore","Eutherian",8.79999997184
"172",1,1,"Mammal","Artiodactyla","Odocoileus virginianus",66000,0.206898550666667,"Herbivore","Eutherian",4.83328663626598
"160",1,1,"Mammal","Artiodactyla","Okapia johnstoni",225000,0.074626866,"Herbivore","Eutherian",13.39999994104
"17410",1,1,"Mammal","Artiodactyla","Oreamnos americanus",76875,0.146048077,"Herbivore","Eutherian",6.84706036903177
"165",1,1,"Mammal","Artiodactyla","Oreotragus oreotragus",12000,0.096525097,"Herbivore","Eutherian",10.3599999490288
"166",1,1,"Mammal","Artiodactyla","Oryx dammah",177500,0.090909091,"Herbivore","Eutherian",10.999999989
"167",1,1,"Mammal","Artiodactyla","Oryx gazella",170000,0.105042017,"Herbivore","Eutherian",9.5199999824832
"168",1,1,"Mammal","Artiodactyla","Oryx leucoryx",121350,0.120192308,"Herbivore","Eutherian",8.3199999787008
"169",1,1,"Mammal","Artiodactyla","Ourebia ourebi",17000,0.157232704,"Herbivore","Eutherian",6.3600000162816
"176",1,1,"Mammal","Artiodactyla","Ovibos moschatus",342000,0.098120438,"Herbivore","Eutherian",10.1915566255422
"177",1,1,"Mammal","Artiodactyla","Ovis ammon",150000,0.172404762,"Herbivore","Eutherian",5.80030382223433
"174",1,1,"Mammal","Artiodactyla","Ovis aries",80000,0.109649123,"Herbivore","Eutherian",9.1199999839488
"178",1,1,"Mammal","Artiodactyla","Ovis canadensis",72437.5,0.1131796115,"Herbivore","Eutherian",8.83551362959043
"17910",1,1,"Mammal","Artiodactyla","Ovis dalli",73050,0.08827551,"Herbivore","Eutherian",11.3281701799287
"179",1,1,"Mammal","Artiodactyla","Ozotoceros bezoarticus",32500,0.114155251,"Herbivore","Eutherian",8.7600000108624
"180",1,1,"Mammal","Artiodactyla","Pecari tajacu",20200,0.079365079,"Herbivore","Eutherian",12.60000005796
"181",1,1,"Mammal","Artiodactyla","Pelea capreolus",20000,0.256,"Herbivore","Eutherian",3.90625
"18010",1,1,"Mammal","Artiodactyla","Phacochoerus aethiopicus",71000,0.152,"Herbivore","Eutherian",6.57894736842105
"184",1,1,"Mammal","Artiodactyla","Phacochoerus africanus",1e+05,0.119617225,"Herbivore","Eutherian",8.35999999164
"185",1,1,"Mammal","Artiodactyla","Philantomba maxwellii",7000,0.136612022,"Herbivore","Eutherian",7.3199999923872
"186",1,1,"Mammal","Artiodactyla","Philantomba monticola",6250,0.157232704,"Herbivore","Eutherian",6.3600000162816
"182",1,1,"Mammal","Artiodactyla","Potamochoerus porcus",76000,0.136545454666667,"Herbivore","Eutherian",7.32356856873185
"190",1,1,"Mammal","Artiodactyla","Procapra gutturosa",30000,0.208333333,"Herbivore","Eutherian",4.80000000768
"191",1,1,"Mammal","Artiodactyla","Przewalskium albirostre",135000,0.117370892,"Herbivore","Eutherian",8.5200000013632
"18410",1,1,"Mammal","Artiodactyla","Pseudois nayaur",59500,0.1123086125,"Herbivore","Eutherian",8.90403663387792
"194",1,1,"Mammal","Artiodactyla","Pudu puda",10000,0.136612022,"Herbivore","Eutherian",7.3199999923872
"18510",1,1,"Mammal","Artiodactyla","Rangifer tarandus",94875,0.169113149833333,"Herbivore","Eutherian",5.91320072380849
"201",1,1,"Mammal","Artiodactyla","Raphicerus campestris",13000,0.268817204,"Herbivore","Eutherian",3.7200000041664
"202",1,1,"Mammal","Artiodactyla","Redunca arundinum",58000,0.148809524,"Herbivore","Eutherian",6.7199999913984
"18610",1,1,"Mammal","Artiodactyla","Redunca fulvorufula",29750,0.1898333335,"Herbivore","Eutherian",5.26777874866745
