UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Growth_rate_per_yr,Trophic,Group,Family,Genus,Reference,Notes,Notes_measure,,
2093,4,5,Invertebrate,Diptera,Procladius barbatus,0.019230917,0.046795059,2.433324338,,Benthos,Chironomidae,Procladius,"Aagaard 1978, Jensen 1981, Langeland et al. 1977; cited in Plante & Downing 1989",,,,
2094,4,5,Invertebrate,Diptera,Procladius choreus,0.003820322,0.012632811,3.306739628,,Benthos,Chironomidae,Procladius,"Charles et al. 1974, Charles et al. 1976, Maitland and Hudspith 1974; cited in Plante & Downing 1989",,,,
2095,4,5,Invertebrate,Diptera,Procladius choreus,0.005480245,0.03593354,6.556921737,,Benthos,Chironomidae,Procladius,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2096,4,5,Invertebrate,Diptera,Procladius crassinervis,0.009482001,0.020615791,2.174202546,,Benthos,Chironomidae,Procladius,"Charles et al. 1974, Charles et al. 1976, Maitland and Hudspith 1974; cited in Plante & Downing 1989",,,,
2097,4,5,Invertebrate,Diptera,Procladius freemani,0.000549541,0.002055417,3.74024456,,Benthos,Chironomidae,Procladius,Tudorancea et al. 1979; cited in Plante & Downing 1989,,,,
2098,4,5,Invertebrate,Diptera,Procladius simplicistylus,0.01314014,0.031937433,2.430524482,,Benthos,Chironomidae,Procladius,"Charles et al. 1974, Charles et al. 1976, Maitland and Hudspith 1974; cited in Plante & Downing 1989",,,,
2099,4,5,Invertebrate,Diptera,Procladius sp.,0.007899507,0.421211287,53.32121047,,Benthos,Chironomidae,Procladius,"Benson et al. 1980, Childress et al. 1981, Kelly et al. 1978; cited in Plante & Downing 1989",,,,
2100,4,5,Invertebrate,Diptera,Psectrocladius sordidellus,0.003981072,0.006576578,1.651961798,,Benthos,Chironomidae,Psectrocladius,"Capblancq and Laville 1968, Capblancq and Laville 1983, Giani and Laville 1973, Laville 1972, Laville 1975, Rey and Capblancq 1975; cited in Plante & Downing 1989",,,,
2101,4,5,Invertebrate,Diptera,Pseudodiamesa ,0.01,0.023911124,2.391112446,,Zooplankton,Chironomidae,Pseudodiamesa,"Kalff and Welch 1974, Rigler 1972, Rigler et al. 1974, Schindler 1972, Schindler et al. 1974, Welch 1981; cited in Plante & Downing 1989",,,,
2102,4,5,Invertebrate,Diptera,Psilotanypus ruforittatus,0.00336047,0.010894317,3.241902878,,Benthos,Chironomidae,Psilotanypus,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2103,4,5,Invertebrate,Diptera,Psilotanypus rufovittatus,0.001860373,0.019651694,10.56330939,,Benthos,Chironomidae,Psilotanypus,"Charles et al. 1974, Charles et al. 1976, Maitland and Hudspith 1974; cited in Plante & Downing 1989",,,,
2104,4,5,Invertebrate,Diptera,Stempellina ,2.55035E-07,2.76503E-05,108.4176526,,Benthos,Chironomidae,Stempellina,"Bowen 1983, Eaton 1993, Hogan and Adair 1982, Wilda 1983; cited in Plante & Downing 1989",,,,
2105,4,5,Invertebrate,Diptera,Stictochironomus rosens,0.006325575,0.018071741,2.856932635,,Benthos,Chironomidae,Stictochironomus,"Aagaard 1978, Jensen 1981, Langeland et al. 1977; cited in Plante & Downing 1989",,,,
2106,4,5,Invertebrate,Diptera,Stomoxys calcitrans,0.0238,2.17175,91.25,,Insect,,Stomoxys,Lysyk 1998a; after Frazier et al. 2006,Temp.C= 28.5; Dry mass converted to wet mass assuming 30% dry matter content,,,
2107,4,5,Invertebrate,Diptera,Tanytarsus barbitarsus,0.001,0.008228108,8.228108313,,Benthos,Chironomidae,Tanytarsus,"Paterson and Walker 1974, Walker 1973; cited in Plante & Downing 1989",,,,
2108,4,5,Invertebrate,Diptera,Tanytarsus gracilensis,0.024997697,0.125979535,5.039645636,,Benthos,Chironomidae,Tanytarsus,"Adalsteinsson 1979, Lindegaard and Jonasson 1979, Olafsson 1979, Olafsson 1979; cited in Plante & Downing 1989",,,,
2109,4,5,Invertebrate,Diptera,Tanytarsus holochlorus,0.002320064,0.014979593,6.45654229,,Benthos,Chironomidae,Tanytarsus,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2110,4,5,Invertebrate,Diptera,Tanytarsus inopertus,0.001164126,0.006231606,5.353033977,,Benthos,Chironomidae,Tanytarsus,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2111,4,5,Invertebrate,Diptera,Tanytarsus lugens,0.001776233,0.01331987,7.498942093,,Benthos,Chironomidae,Tanytarsus,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2112,4,5,Invertebrate,Diptera,Tanytarsus sp,1.35238E-05,0.001454119,107.52266,,Benthos,Chironomidae,Tanytarsus,"Bowen 1983, Eaton 1993, Hogan and Adair 1982, Wilda 1983; cited in Plante & Downing 1989",,,,
2113,4,5,Invertebrate,Diptera,Trissocladius ,0.001,0.001764412,1.764411989,,Benthos,Chironomidae,Trissocladius,"Kalff and Welch 1974, Rigler 1972, Rigler et al. 1974, Schindler 1972, Schindler et al. 1974, Welch 1977; cited in Plante & Downing 1989",,,,
2114,4,5,Invertebrate,Diptera,Zavrelimyia melanura,0.003981072,0.006153185,1.545610288,,,Chironomidae,Zavrelimyia,"Capblancq and Laville 1968, Capblancq and Laville 1983, Giani and Laville 1973, Laville 1972, Laville 1975, Rey and Capblancq 1975; cited in Plante & Downing 1989",,,,
2115,4,5,Invertebrate,Ephemeroptera,Brachycercus sp.,0.005799626,0.040068215,6.90875831,,Benthos,Caenidae,Brachycercus,"Benson et al. 1980, Childress et al. 1981, Kelly et al. 1978; cited in Plante & Downing 1989",,,,
2116,4,5,Invertebrate,Ephemeroptera,Hexagenia limbata,0.180011396,0.562600353,3.125359644,,Benthos,Ephemeridae,Hexagenia,Riklik and Momot 1982; cited in Plante & Downing 1989,,,,
2117,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,0.00000025,0.00000365,14.6,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 5 deg C,,,
2118,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,0.00000025,7.02625E-06,28.105,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 8 deg C,,,
2119,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,0.00000025,0.000015695,62.78,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 15 deg C,,,
2120,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,0.00000025,2.16263E-05,86.5052,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 20 deg C,,,
2121,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,0.00000025,2.02575E-05,81.03,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 25 deg C,,,
2122,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,0.00000025,4.65375E-06,18.615,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 5 deg C,,,
2123,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,0.00000025,8.5775E-06,34.31,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 8 deg C,,,
2124,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,0.00000025,1.79763E-05,71.9052,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 15 deg C,,,
2125,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,0.00000025,2.32688E-05,93.0752,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 20 deg C,,,
2126,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,0.00000025,0.00002774,110.96,,Zooplankton,Trochosphaeridae,Filinia,Sanoamuang 1993; Gillooly 2000,Temp: 25 deg C,,,
2127,4,5,Invertebrate,Haplotaxida,Limnodrilus spp.,0.004588809,0.057200523,12.4652215,,Benthos,Tubificidae,Limnodrilus,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2128,4,5,Invertebrate,Haplotaxida,Potamothrix hammoniensis,0.001100019,0.00108019,0.981974025,,Benthos,Tubificidae,Potamothrix,"Bosselman 1981, Dall et al. 1984, Jonasson 1975, Jonasson 1984, Jonasson and Kristiansen 1967, Petersen 1983; cited in Plante & Downing 1989",,,,
2129,4,5,Invertebrate,Haplotaxida,Tubificidae ,0.002891346,0.032764233,11.33182868,,Benthos,Naididae,Tubificidae,"George 1976, George and Edwards 1974, Learner and Potter 1974, Potter and Learner 1974; cited in Plante & Downing 1989",,,,
2130,4,5,Invertebrate,Hemiptera,Acyrthosiphon kondoi,0.001333333,0.165466667,124.1,,Insect,,Acyrthosiphon,Summers et al. 1984 ; after Frazier et al. 2006,Temp.C= 29.3; Dry mass converted to wet mass assuming 30% dry matter content,,,
