UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Growth_rate_per_yr,Trophic,Group,Family,Genus,Reference,Notes,Notes_measure,,
1135,1,9,Mammal,Primate,Galagoides zanzibaricus,141.9384309,112.1313604,0.79,Omnivore,Eutherian,Galagonidae,Galagoides,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1136,1,9,Mammal,Primate,Gorilla gorilla,109169.1679,7641.841753,0.07,Omnivore,Eutherian,Hominidae,Gorilla,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1137,1,9,Mammal,Primate,Gorilla gorilla,105000,5146.702936,0.049016218,Omnivore,Eutherian,Hominidae,Gorilla,Ernest et al. 2003,,,,
1138,1,9,Mammal,Primate,Gorilla gorilla,139842,1.05E+04,0.075129646,Omnivore,Eutherian,Hominidae,Gorilla,AnAge Data,HAGRID: 2423; Refs: 5;934;134;243;443;640;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000,captivity; large sample size; acceptable quality,,
1139,1,9,Mammal,Primate,Hapalemur griseus,1012.5,2.61E+02,0.257604543,Omnivore,Eutherian,Lemuridae,Hapalemur,AnAge Data,HAGRID: 2447; Refs: 4;344;364;554;676;100;000;000;000;000;000;000;000,captivity; small sample size; acceptable quality,,
1140,1,9,Mammal,Primate,Homo sapiens,62035,3.84E+03,0.061956251,Omnivore,Eutherian,Hominidae,Homo,AnAge Data,HAGRID: 2424; Refs: 2;13;14;29;30;31;36;58;59;65;75;76;110;111;121;125;134;189;217;253;254;255;256;325;331;405;434;436;455;465;467;607;715;731;742;798;841;899;975;976;981;1078;1103;1122;1123;1136;1150;1242;1274,captivity; huge sample size; high quality,,
1141,1,9,Mammal,Primate,Hoolock hoolock,6875,5.37E+02,0.078054284,Omnivore,Eutherian,Hylobatidae,Hoolock,AnAge Data,HAGRID: 2428; Refs: 455;467;671;679,captivity; small sample size; acceptable quality,,
1142,1,9,Mammal,Primate,Hylobates lar,5296.634439,476.6970995,0.09,Omnivore,Eutherian,Hylobatidae,Hylobates,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1143,1,9,Mammal,Primate,Hylobates lar,6810,7.20E+02,0.105744508,Omnivore,Eutherian,Hylobatidae,Hylobates,AnAge Data,HAGRID: 2431; Refs: 434;436;448;455;467;000;000;000;000;000,captivity; large sample size; high quality,,
1144,1,9,Mammal,Primate,Hylobates syndactylus,10171.85124,915.4666116,0.09,Omnivore,Eutherian,Hylobatidae,Hylobates,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1145,1,1,Mammal,Primate,Lagothrix lagothricha,7650,7.76E+02,0.101499804,Herbivore,Eutherian,Atelidae,Lagothrix,AnAge Data,HAGRID: 2315; Refs: 434;455;467;610;671;000;000;000,captivity; medium sample size; acceptable quality,,
1146,1,1,Mammal,Primate,Lagothrix lagotricha,6931.065451,970.3491631,0.14,Herbivore,Eutherian,Cebidae,Lagothrix,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",,,,
1147,1,1,Mammal,Primate,Lagothrix lagotricha,6931.065451,1108.970472,0.16,Herbivore,Eutherian,Cebidae,Lagothrix,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1148,1,9,Mammal,Primate,Lemur catta,2327.555257,628.4399194,0.27,Omnivore,Eutherian,Lemuridae,Lemur,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1149,1,9,Mammal,Primate,Lemur catta,2333,723.23,0.31,Omnivore,Eutherian,Lemuridae,Lemur,Fagan et. al. 2009,,,,
1150,1,9,Mammal,Primate,Lemur catta,2555,6.61E+02,0.258584305,Omnivore,Eutherian,Lemuridae,Lemur,AnAge Data,HAGRID: 2448; Refs: 1;084;344;364;554;670;000;000;000;000;000;000;000;000;000,captivity; large sample size; high quality,,
1151,1,9,Mammal,Primate,Leontocebus fuscicollis,456.5,1.69E+02,0.370469441,Omnivore,Eutherian,Callitrichidae,Leontocebus,AnAge Data,HAGRID: 2322; Refs: 322;434;455;467;542;000;000;000;000,captivity; medium sample size; acceptable quality,,
1152,1,9,Mammal,Primate,Leontocebus nigricollis,519.2,2.66E+02,0.512337827,Omnivore,Eutherian,Callitrichidae,Leontocebus,AnAge Data,HAGRID: 2323; Refs: 434;455;467;610;671;000;000;000,captivity; tiny sample size; acceptable quality,,
1153,1,9,Mammal,Primate,Leontopithecus rosalia,558.4701947,346.2515207,0.62,Omnivore,Eutherian,Callitrichidae,Leontopithecus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1154,1,9,Mammal,Primate,Leontopithecus rosalia,654.5,3.45E+02,0.526699618,Omnivore,Eutherian,Callitrichidae,Leontopithecus,AnAge Data,HAGRID: 2326; Refs: 4;344;484;554;676;100;000;000;000;000;000;000,captivity; large sample size; high quality,,
1155,1,9,Mammal,Primate,Lophocebus albigena,7037.201717,985.2082404,0.14,Omnivore,Eutherian,Cercopithecidae,Lophocebus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1156,1,9,Mammal,Primate,Lophocebus albigena,9317.5,1.04E+03,0.111599356,Omnivore,Eutherian,Cercopithecidae,Lophocebus,AnAge Data,HAGRID: 2370; Refs: 434;455;467;610;671;000;000;000,captivity; small sample size; acceptable quality,,
1157,1,2,Mammal,Primate,Loris tardigradus,261.6375056,146.5170031,0.56,Carnivore,Eutherian,Loridae,Loris,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1158,1,2,Mammal,Primate,Loris tardigradus,238.2,1.01E+02,0.424252729,Carnivore,Eutherian,Lorisidae,Loris,AnAge Data,HAGRID: 2455; Refs: 364;204;344;364;554;000;000;000;000;000;000;000,captivity; small sample size; acceptable quality,,
1159,1,9,Mammal,Primate,Macaca arctoides,8237.586728,1482.765611,0.18,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1160,1,9,Mammal,Primate,Macaca arctoides,9275,1.43E+03,0.153854771,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2371; Refs: 1;434;455;467;610;670;000,captivity; medium sample size; acceptable quality,,
1161,1,9,Mammal,Primate,Macaca fascicularis,3958.220648,870.8085426,0.22,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1162,1,9,Mammal,Primate,Macaca fascicularis,6362.5,1.23E+03,0.19387442,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2373; Refs: 951;671;681;691;701;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000,captivity; large sample size; acceptable quality,,
1163,1,9,Mammal,Primate,Macaca fuscata,9516.998481,1427.549772,0.15,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1164,1,9,Mammal,Primate,Macaca fuscata,9516.998481,2284.079635,0.24,Omnivore,Eutherian,Cercopithecidae,Macaca,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",,,,
1165,1,9,Mammal,Primate,Macaca fuscata,8672,1647.68,0.19,Omnivore,Eutherian,Cercopithecidae,Macaca,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),,,,
1166,1,9,Mammal,Primate,Macaca fuscata,8882.5,1.46E+03,0.163933465,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2374; Refs: 9;526;927;027;143;440;000;000;000;000;000;000;000;000;000;000,captivity; large sample size; high quality,,
1167,1,9,Mammal,Primate,Macaca maura,5575,7.42E+02,0.133047408,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2375; Refs: 671;679;681;978,captivity; small sample size; acceptable quality,,
1168,1,9,Mammal,Primate,Macaca mulatta,5654.575407,1187.460835,0.21,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1169,1,9,Mammal,Primate,Macaca mulatta,5500,1066.088045,0.19383419,Omnivore,Eutherian,Cercopithecidae,Macaca,Hatton et al 2015; from life history,,,,
1170,1,9,Mammal,Primate,Macaca mulatta,8235,1.69E+03,0.205652459,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2376; Refs: 2;58;59;75;95;149;152;157;174;235;328;329;330;331;332;333;334;335;336;390;391;430;434;455;463;464;465;467;517;601;610;679;680;681;713;727;731;873;916;920;938;976;981;1036;1074;1087;1090;1101;1103;1122;1136;1143;1183;1184;1213;1214;1216;1236;1257,captivity; large sample size; high quality,,
1171,1,9,Mammal,Primate,Macaca nemestrina,6899.220098,1517.828422,0.22,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1172,1,9,Mammal,Primate,Macaca nemestrina,7912.5,1.48E+03,0.187393618,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2377; Refs: 152;164;346;347;348;000;000;000;000;000;000;000;000;000;000;000;000;000;000,captivity; large sample size; acceptable quality,,
1173,1,9,Mammal,Primate,Macaca nigra,5791.619211,984.5752659,0.17,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1174,1,9,Mammal,Primate,Macaca nigra,7965,1.25E+03,0.157016196,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2378; Refs: 4;344;554;676;106;710;000;000;000;000,captivity; medium sample size; acceptable quality,,
1175,1,9,Mammal,Primate,Macaca radiata,4000,796.6946,0.19917365,Omnivore,Eutherian,Cercopithecidae,Macaca,Hatton et al 2015; from life history,,,,
1176,1,9,Mammal,Primate,Macaca radiata,6755,1.36E+03,0.201337972,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2380; Refs: 93;94;95;434;455;467;610;671;679;681;1088,captivity; medium sample size; acceptable quality,,
1177,1,9,Mammal,Primate,Macaca silenus,5362.903718,911.6936321,0.17,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1178,1,9,Mammal,Primate,Macaca silenus,7875,1.26E+03,0.159845968,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2381; Refs: 4;344;554;676;106;710;000;000;000;000;000,captivity; large sample size; high quality,,
1179,1,9,Mammal,Primate,Macaca sinica,4033.666609,645.3866574,0.16,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1180,1,9,Mammal,Primate,Macaca sinica,4370,6.92E+02,0.158264256,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2382; Refs: 434;455;467;671;676;000;000,captivity; small sample size; acceptable quality,,
1181,1,9,Mammal,Primate,Macaca sylvanus,9259.765746,1944.550807,0.21,Omnivore,Eutherian,Cercopithecidae,Macaca,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1182,1,9,Mammal,Primate,Macaca sylvanus,10838,2817.88,0.26,Omnivore,Eutherian,Cercopithecidae,Macaca,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),,,,
1183,1,9,Mammal,Primate,Macaca sylvanus,10875,2.60E+03,0.23919531,Omnivore,Eutherian,Cercopithecidae,Macaca,AnAge Data,HAGRID: 2383; Refs: 4;344;554;676;106;710;000;000;000;000,captivity; large sample size; high quality,,
1184,1,9,Mammal,Primate,Mandrillus leucophaeus,11646.62253,2096.392055,0.18,Omnivore,Eutherian,Cercopithecidae,Mandrillus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1185,1,9,Mammal,Primate,Mandrillus leucophaeus,18250,3.26E+03,0.178780932,Omnivore,Eutherian,Cercopithecidae,Mandrillus,AnAge Data,HAGRID: 2386; Refs: 434;455;467;671;679;000,captivity; medium sample size; acceptable quality,,
1186,1,9,Mammal,Primate,Mandrillus sphinx,13995.87323,2519.257181,0.18,Omnivore,Eutherian,Cercopithecidae,Mandrillus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1187,1,9,Mammal,Primate,Mandrillus sphinx,23000,4.23E+03,0.184048478,Omnivore,Eutherian,Cercopithecidae,Mandrillus,AnAge Data,HAGRID: 2387; Refs: 4;224;344;554;676;710;000;000;000,captivity; large sample size; high quality,,
1188,1,9,Mammal,Primate,Mico argentatus,343.2,2.78E+02,0.808880245,Omnivore,Eutherian,Callitrichidae,Mico,AnAge Data,HAGRID: 2327; Refs: 434;436;455;467;574;000;000,captivity; medium sample size; acceptable quality,,
1189,1,1,Mammal,Primate,Microcebus coquereli,306.5490679,171.667478,0.56,Herbivore,Eutherian,Cheirogaleidae,Microcebus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1190,1,1,Mammal,Primate,Microcebus murinus,68.706844,46.03358548,0.67,Herbivore,Eutherian,Cheirogaleidae,Microcebus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1191,1,1,Mammal,Primate,Microcebus murinus,64.8,3.31E+01,0.51088179,Herbivore,Eutherian,Cheirogaleidae,Microcebus,AnAge Data,HAGRID: 2410; Refs: 14;314;416;435;235;300;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
1192,1,1,Mammal,Primate,Miopithecus talapoin,1168.960941,257.171407,0.22,Herbivore,Eutherian,Cercopithecidae,Miopithecus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1193,1,1,Mammal,Primate,Miopithecus talapoin,1384.5,2.70E+02,0.195093752,Herbivore,Eutherian,Cercopithecidae,Miopithecus,AnAge Data,HAGRID: 2388; Refs: 174;434;455;467;671;000;000;000,captivity; medium sample size; acceptable quality,,
1194,1,9,Mammal,Primate,Mirza coquereli,311.2,1.38E+02,0.442913882,Omnivore,Eutherian,Cheirogaleidae,Mirza,AnAge Data,HAGRID: 2412; Refs: 164;434;455;463;467;000;000;000;000,captivity; small sample size; acceptable quality,,
1195,1,9,Mammal,Primate,Nasalis larvatus,14617.5,2.60E+03,0.177818368,Omnivore,Eutherian,Cercopithecidae,Nasalis,AnAge Data,HAGRID: 2389; Refs: 434;455;467;671;679;000;000,captivity; small sample size; acceptable quality,,
1196,1,9,Mammal,Primate,Nomascus concolor,6852.5,5.85E+02,0.085362145,Omnivore,Eutherian,Hylobatidae,Nomascus,AnAge Data,HAGRID: 2435; Refs: 434;436;455;467;671;000,captivity; small sample size; acceptable quality,,
1197,1,9,Mammal,Primate,Nycticebus coucang,890.5,2.28E+02,0.256306232,Omnivore,Eutherian,Lorisidae,Nycticebus,AnAge Data,HAGRID: 2456; Refs: 364;204;344;554;675;000;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
1198,1,9,Mammal,Primate,Nycticebus pygmaeus,419,1.67E+02,0.398871599,Omnivore,Eutherian,Lorisidae,Nycticebus,AnAge Data,HAGRID: 2457; Refs: 4;676;716;811;301,captivity; medium sample size; acceptable quality,,
1199,1,9,Mammal,Primate,Otolemur crassicaudatus,1110.196874,444.0787496,0.4,Omnivore,Eutherian,Galagonidae,Otolemur,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1200,1,9,Mammal,Primate,Otolemur crassicaudatus,1094.5,3.82E+02,0.349060576,Omnivore,Eutherian,Galagidae,Otolemur,AnAge Data,HAGRID: 2419; Refs: 36;59;384;434;436;455;467;610;671;679;680;681;1032,captivity; medium sample size; acceptable quality,,
1201,1,9,Mammal,Primate,Otolemur garnettii,908.2386933,463.2017336,0.51,Omnivore,Eutherian,Galagonidae,Otolemur,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1202,1,9,Mammal,Primate,Otolemur garnettii,1300,4.10E+02,0.315507923,Omnivore,Eutherian,Galagidae,Otolemur,AnAge Data,HAGRID: 2420; Refs: 364;204;344;676;716;000;000,captivity; medium sample size; acceptable quality,,
1203,1,9,Mammal,Primate,Pan paniscus,39925,2.15E+03,0.053969418,Omnivore,Eutherian,Hominidae,Pan,AnAge Data,HAGRID: 2425; Refs: 108;256;323;324;434;000;000;000;000;000;000;000;000;000;000;000;000,captivity; tiny sample size; acceptable quality,,
1204,1,9,Mammal,Primate,Pan troglodytes,40271.70343,2013.585172,0.05,Omnivore,Eutherian,Hominidae,Pan,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1205,1,9,Mammal,Primate,Pan troglodytes,40271.70343,5638.03848,0.14,Omnivore,Eutherian,Hominidae,Pan,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",,,,
1206,1,9,Mammal,Primate,Pan troglodytes,36766.66667,3141.27378,0.08543809,Omnivore,Eutherian,Hominidae,Pan,Ernest et al. 2003,,,,
1207,1,9,Mammal,Primate,Pan troglodytes,44983.5,2.41E+03,0.053509353,Omnivore,Eutherian,Hominidae,Pan,AnAge Data,HAGRID: 2426; Refs: 8;59;72;73;234;235;236;237;238;239;256;323;434;436;455;463;467;505;535;574;590;607;610;671;676;679;680;681;731;736;752;753;834;837;842;844;846;853;854;862;866;871;877;899;976;1057;1078;1089;1091;1099;1116;1122;1123;1125;1131;1143;1150;1172;1173;1174;1213;1231;1232;1233;1236;1261;1280,captivity; large sample size; acceptable quality,,
1208,1,9,Mammal,Primate,Pan troglodytes schweinfurthi,44984,33288.16,0.74,Omnivore,Eutherian,Hominidae,Pan,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),,,,
1209,1,9,Mammal,Primate,Papio anubis,14000,1543.67318,0.11026237,Omnivore,Eutherian,Cercopithecidae,Papio,Hatton et al 2015; from life history,African ecosystems,,,
1210,1,9,Mammal,Primate,Papio hamadryas,14002.32005,1960.324807,0.14,Omnivore,Eutherian,Cercopithecidae,Papio,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1211,1,9,Mammal,Primate,Papio hamadryas,14002.32005,1820.301607,0.13,Omnivore,Eutherian,Cercopithecidae,Papio,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1212,1,9,Mammal,Primate,Papio hamadryas,24333.33333,3260.944344,0.134011411,Omnivore,Eutherian,Cercopithecidae,Papio,Ernest et al. 2003,,,,
1213,1,9,Mammal,Primate,Papio hamadryas,18000,3.03E+03,0.168593833,Omnivore,Eutherian,Cercopithecidae,Papio,AnAge Data,HAGRID: 2390; Refs: 9;36;59;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;212;293;294;345;434;436;455;467;474;671;679;680;708;731;763;838;909;944;981;1045;1091;1125;1143;1150;1252,captivity; large sample size; high quality,,
1214,1,9,Mammal,Primate,Papio ursinus,15000,2389.3929,0.15929286,Omnivore,Eutherian,Cercopithecidae,Papio,Hatton et al 2015; from life history,African ecosystems,,,
1215,1,1,Mammal,Primate,Perodicticus potto,1000.230285,340.0782969,0.34,Herbivore,Eutherian,Loridae,Perodicticus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1216,1,1,Mammal,Primate,Perodicticus potto,919.9,2.41E+02,0.261796826,Herbivore,Eutherian,Lorisidae,Perodicticus,AnAge Data,HAGRID: 2458; Refs: 36;41;164;420;434;436;455;467;610;671;679;680;681;731;978;1301,captivity; small sample size; acceptable quality,,
1217,1,9,Mammal,Primate,Pithecia pithecia,1533.910428,352.7993984,0.23,Omnivore,Eutherian,Cebidae,Pithecia,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1218,1,9,Mammal,Primate,Pithecia pithecia,1480,3.56E+02,0.240696419,Omnivore,Eutherian,Pitheciidae,Pithecia,AnAge Data,HAGRID: 2466; Refs: 434;436;455;467;610;000;000;000,captivity; large sample size; high quality,,
1219,1,9,Mammal,Primate,Plecturocebus moloch,804,1.83E+02,0.227338557,Omnivore,Eutherian,Pitheciidae,Plecturocebus,AnAge Data,HAGRID: 2469; Refs: 4;344;554;676;711;140,captivity; tiny sample size; acceptable quality,,
1220,1,1,Mammal,Primate,Pongo pygmaeus,45279.33084,2263.966542,0.05,Herbivore,Eutherian,Hominidae,Pongo,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1221,1,1,Mammal,Primate,Pongo pygmaeus,64475,3.80E+03,0.058947747,Herbivore,Eutherian,Hominidae,Pongo,AnAge Data,HAGRID: 2427; Refs: 59;75;108;164;214;215;434;436;455;467;610;671;679;680;681;731;737;757;1116;1136;1142;1231,captivity; large sample size; acceptable quality,,
1222,1,1,Mammal,Primate,Procolobus badius,7017.784049,982.4897669,0.14,Herbivore,Eutherian,Cercopithecidae,Procolobus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1223,1,9,Mammal,Primate,Propithecus diadema,5550,7.30E+02,0.131504486,Omnivore,Eutherian,Indriidae,Propithecus,AnAge Data,HAGRID: 2438; Refs: 434;436;455;467;497;000;000;000;000,wild; small sample size; questionable quality,,
1224,1,9,Mammal,Primate,Propithecus verreauxi,3460.987255,830.6369412,0.24,Omnivore,Eutherian,Indridae,Propithecus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1225,1,9,Mammal,Primate,Propithecus verreauxi,5000,1.15E+03,0.2290394,Omnivore,Eutherian,Indriidae,Propithecus,AnAge Data,HAGRID: 2440; Refs: 364;204;344;364;554;000;000;000;000;000;000;000;000;000;000;000;000;000,wild; medium sample size; acceptable quality,,
1226,1,9,Mammal,Primate,Pygathrix nemaeus,9720,1.86E+03,0.191283745,Omnivore,Eutherian,Cercopithecidae,Pygathrix,AnAge Data,HAGRID: 2394; Refs: 434;455;467;671,captivity; medium sample size; acceptable quality,,
1227,1,9,Mammal,Primate,Saguinus fuscicollis,357.2728382,157.2000488,0.44,Omnivore,Eutherian,Callitrichidae,Saguinus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1228,1,9,Mammal,Primate,Saguinus geoffroyi,540,54,0.1,Omnivore,Eutherian,Callitrichidae,Saguinus,Pereira and Daily 2006,,,,
1229,1,9,Mammal,Primate,Saguinus geoffroyi,499.3,2.39E+02,0.478897056,Omnivore,Eutherian,Callitrichidae,Saguinus,AnAge Data,HAGRID: 2330; Refs: 36;434;455;542;610;600;000;000;000,captivity; medium sample size; acceptable quality,,
1230,1,9,Mammal,Primate,Saguinus midas,503.6165574,332.3869279,0.66,Omnivore,Eutherian,Callitrichidae,Saguinus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1231,1,9,Mammal,Primate,Saguinus midas,553.8,2.49E+02,0.449256771,Omnivore,Eutherian,Callitrichidae,Saguinus,AnAge Data,HAGRID: 2334; Refs: 434;455;467;542;610;000;000;000;000;000,captivity; large sample size; high quality,,
1232,1,9,Mammal,Primate,Saguinus mystax,543.5,3.24E+02,0.596231647,Omnivore,Eutherian,Callitrichidae,Saguinus,AnAge Data,HAGRID: 2335; Refs: 59;434;455;467;610;600;000,captivity; small sample size; acceptable quality,,
1233,1,9,Mammal,Primate,Saguinus oedipus,408.6956356,265.6521631,0.65,Omnivore,Eutherian,Callitrichidae,Saguinus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1234,1,9,Mammal,Primate,Saguinus oedipus,445.5,1.66E+02,0.373278563,Omnivore,Eutherian,Callitrichidae,Saguinus,AnAge Data,HAGRID: 2336; Refs: 321;322;434;455;463;000;000;000;000;000;000;000;000,captivity; large sample size; high quality,,
1235,1,9,Mammal,Primate,Saimiri oerstedii,800,128,0.16,Omnivore,Eutherian,Cebidae,Saimiri,Pereira and Daily 2006,,,,
1236,1,9,Mammal,Primate,Saimiri sciureus,723.9357102,180.9839276,0.25,Omnivore,Eutherian,Cebidae,Saimiri,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",,,,
1237,1,9,Mammal,Primate,Saimiri sciureus,723.9357102,173.7445704,0.24,Omnivore,Eutherian,Cebidae,Saimiri,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",,,,
1238,1,9,Mammal,Primate,Saimiri sciureus,723.9357102,188.2232847,0.26,Omnivore,Eutherian,Cebidae,Saimiri,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1239,1,9,Mammal,Primate,Saimiri sciureus,925,2.04E+02,0.221070054,Omnivore,Eutherian,Cebidae,Saimiri,AnAge Data,HAGRID: 2343; Refs: 36;59;75;108;192;193;388;389;390;420;434;436;455;463;467;671;731;826;1136;1236,captivity; large sample size; high quality,,
1240,1,9,Mammal,Primate,Sapajus apella,2642.5,4.54E+02,0.171830615,Omnivore,Eutherian,Cebidae,Sapajus,AnAge Data,HAGRID: 2344; Refs: 383;434;436;455;467;000;000;000;000;000,captivity; large sample size; high quality,,
1241,1,9,Mammal,Primate,Semnopithecus entellus,11926.14266,2146.705679,0.18,Omnivore,Eutherian,Cercopithecidae,Semnopithecus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1242,1,9,Mammal,Primate,Semnopithecus entellus,6500,1346.465835,0.20714859,Omnivore,Eutherian,Cercopithecidae,Semnopithecus,Hatton et al 2015; from life history,,,,
1243,1,9,Mammal,Primate,Semnopithecus entellus,13516.5,2.29E+03,0.169678837,Omnivore,Eutherian,Cercopithecidae,Semnopithecus,AnAge Data,HAGRID: 2397; Refs: 185;434;436;455;466;000;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
1244,1,9,Mammal,Primate,Semnopithecus vetulus,7081.8,7.85E+02,0.11088277,Omnivore,Eutherian,Cercopithecidae,Semnopithecus,AnAge Data,HAGRID: 2399; Refs: 434;436;455;610;671;000;000;000,captivity; small sample size; acceptable quality,,
1245,1,1,Mammal,Primate,Symphalangus syndactylus,10900,1.06E+03,0.097329174,Herbivore,Eutherian,Hylobatidae,Symphalangus,AnAge Data,HAGRID: 2437; Refs: 4;344;364;554;675;420;000;000;000;000;000;000,captivity; small sample size; acceptable quality,,
1246,1,2,Mammal,Primate,Tarsius spectrum,182.4735831,118.607829,0.65,Carnivore,Eutherian,Tarsiidae,Tarsius,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1247,1,1,Mammal,Primate,Theropithecus gelada,13583.13447,2037.470171,0.15,Herbivore,Eutherian,Cercopithecidae,Theropithecus,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1248,1,1,Mammal,Primate,Theropithecus gelada,16200,2.13E+03,0.131701975,Herbivore,Eutherian,Cercopithecidae,Theropithecus,AnAge Data,HAGRID: 2400; Refs: 4;344;554;676;106;710;000;000;000;000,captivity; medium sample size; acceptable quality,,
1249,1,9,Mammal,Primate,Trachypithecus obscurus,7080,9.18E+02,0.129725311,Omnivore,Eutherian,Cercopithecidae,Trachypithecus,AnAge Data,HAGRID: 2405; Refs: 434;436;455;467;610;000;000;000,captivity; medium sample size; acceptable quality,,
1250,1,9,Mammal,Primate,Varecia variegata,3261.369459,1500.229951,0.46,Omnivore,Eutherian,Lemuridae,Varecia,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",,,,
1251,1,9,Mammal,Primate,Varecia variegata,3482.3,1.32E+03,0.378796198,Omnivore,Eutherian,Lemuridae,Varecia,AnAge Data,HAGRID: 2451; Refs: 43;445;546;754;067;900;000;000;000;000;000,captivity; large sample size; high quality,,
1252,1,1,Mammal,Proboscidea,Elephas maximus,3000000,170674.44,0.05689148,Herbivore,Eutherian,Elephantidae,Elephas,Hatton et al 2015; from life history,,,,
