"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Density_Nm2","Trophic","Group","Biomass_g_m2"
"166",1,1,"Mammal","Artiodactyla","Tragelaphus strepsiceros",170040,5.710984e-07,"Herbivore","Eutherian",0.097109571936
"1331",1,1,"Mammal","Artiodactyla","Tragulus memmina",3200,3.1e-06,"Herbivore","Eutherian",0.00992
"1332",1,1,"Mammal","Artiodactyla","Vicugna vicugna",47500,3.5e-06,"Herbivore","Eutherian",0.16625
"54",1,2,"Mammal","Carnivora","Acinonyx jubatus",43200,2.18234285714286e-08,"Carnivore","Eutherian",0.000942772114285714
"1368",1,1,"Mammal","Carnivora","Ailuropoda melanoleuca",118000,1.21e-07,"Herbivore","Eutherian",0.014278
"1369",1,2,"Mammal","Carnivora","Alopex lagopus",5500,1.75e-07,"Carnivore","Eutherian",0.0009625
"1370",1,2,"Mammal","Carnivora","Atilax paludrinosus",3075,2.5e-06,"Carnivore","Eutherian",0.0076875
"1371",1,2,"Mammal","Carnivora","Bassariscus astutus",1020,2.2e-06,"Carnivore","Eutherian",0.002244
"1372",1,2,"Mammal","Carnivora","Bdeogale nigripes",1000,4e-07,"Carnivore","Eutherian",4e-04
"1373",1,2,"Mammal","Carnivora","Canis adustus",5440,2.3e-07,"Carnivore","Eutherian",0.0012512
"55",1,2,"Mammal","Carnivora","Canis aureus",10089.2857142857,3.94375721428571e-07,"Carnivore","Eutherian",0.00397896933227041
"56",1,2,"Mammal","Carnivora","Canis lupus",45010.5263157895,3.71224210526316e-08,"Carnivore","Eutherian",0.00167089970969529
"1459",1,2,"Mammal","Carnivora","Canis mesomelas",8160,2.26e-06,"Carnivore","Eutherian",0.0184416
"1460",1,2,"Mammal","Carnivora","Canis simensis",10000,2e-06,"Carnivore","Eutherian",0.02
"1461",1,2,"Mammal","Carnivora","Cants latrans",14000,2.96e-07,"Carnivore","Eutherian",0.004144
"1462",1,9,"Mammal","Carnivora","Civecttictis civetta",12375,2.8e-06,"Omnivore","Eutherian",0.03465
"57",1,2,"Mammal","Carnivora","Conepatus semistriatus",1750,1.2275e-05,"Carnivore","Eutherian",0.02148125
"58",1,2,"Mammal","Carnivora","Crocuta crocuta",49079.0697674419,3.28030930232558e-07,"Carnivore","Eutherian",0.0160994529107626
"1508",1,2,"Mammal","Carnivora","Cryptoprocta ferox",9500,1e-06,"Carnivore","Eutherian",0.0095
"59",1,2,"Mammal","Carnivora","Cuon alpinus",16000,3.2479187131579e-07,"Carnivore","Eutherian",0.00519666994105263
"1547",1,2,"Mammal","Carnivora","Dusicyon thous",6500,4e-06,"Carnivore","Eutherian",0.026
"180",1,9,"Mammal","Carnivora","Eira barbara",4490,1.5e-06,"Omnivore","Eutherian",0.006735
"60",1,2,"Mammal","Carnivora","Felis concolor",48250,6e-08,"Carnivore","Eutherian",0.002895
"1552",1,2,"Mammal","Carnivora","Felis onca",85500,1e-08,"Carnivore","Eutherian",0.000855
"61",1,2,"Mammal","Carnivora","Felis pardalis",12030,5.25e-07,"Carnivore","Eutherian",0.00631575
"1555",1,2,"Mammal","Carnivora","Felis sylvestris",4380,4.14e-07,"Carnivore","Eutherian",0.00181332
"62",1,2,"Mammal","Carnivora","Felis yagouaroundi",6240,6.15e-07,"Carnivore","Eutherian",0.0038376
"1558",1,2,"Mammal","Carnivora","Fossa fossana",1800,3.85e-06,"Carnivore","Eutherian",0.00693
"63",1,2,"Mammal","Carnivora","Galictis vittata",3855,2.4e-06,"Carnivore","Eutherian",0.009252
"1561",1,2,"Mammal","Carnivora","Galidia elegans",820,6e-06,"Carnivore","Eutherian",0.00492
"1562",1,2,"Mammal","Carnivora","Genetta genetta",1780,2.13e-06,"Carnivore","Eutherian",0.0037914
"1563",1,2,"Mammal","Carnivora","Genetta servalina",2500,1.2e-06,"Carnivore","Eutherian",0.003
"1564",1,2,"Mammal","Carnivora","Genetta victoriae",3500,4e-07,"Carnivore","Eutherian",0.0014
"1565",1,2,"Mammal","Carnivora","Herpestes sanguineus",525,1.5e-06,"Carnivore","Eutherian",0.0007875
"64",1,2,"Mammal","Carnivora","Hyaena brunnea",41000,5.99033333333333e-08,"Carnivore","Eutherian",0.00245603666666667
"65",1,2,"Mammal","Carnivora","Hyaena hyaena",30000,1.82125266666667e-07,"Carnivore","Eutherian",0.005463758
"1587",1,2,"Mammal","Carnivora","Ichneumia albicauda",3700,1.93e-06,"Carnivore","Eutherian",0.007141
"1588",1,2,"Mammal","Carnivora","Lutra perspillata",5000,5e-06,"Carnivore","Eutherian",0.025
"66",1,2,"Mammal","Carnivora","Lycaon pictus",20030.4347826087,1.75104347826087e-08,"Carnivore","Eutherian",0.000350741621928166
"1612",1,2,"Mammal","Carnivora","Lynx canadensis",10200,1.3e-07,"Carnivore","Eutherian",0.001326
"1613",1,2,"Mammal","Carnivora","Lynx lynx",28600,4.3e-08,"Carnivore","Eutherian",0.0012298
"1614",1,2,"Mammal","Carnivora","Martes americana",883,1.2e-06,"Carnivore","Eutherian",0.0010596
"1615",1,2,"Mammal","Carnivora","Martes pennanti",3250,2.35e-07,"Carnivore","Eutherian",0.00076375
"1616",1,2,"Mammal","Carnivora","Mungotictis decemlineata",670,8.2e-06,"Carnivore","Eutherian",0.005494
"1617",1,2,"Mammal","Carnivora","Mustela erminea",78.9,1.053e-05,"Carnivore","Eutherian",0.000830817
"1618",1,2,"Mammal","Carnivora","Mustela nivalis",80,3.6e-05,"Carnivore","Eutherian",0.00288
"1619",1,9,"Mammal","Carnivora","Nandinia binotata",2950,3.6e-06,"Omnivore","Eutherian",0.01062
"1620",1,9,"Mammal","Carnivora","Nasua nasua",3880,1.51e-05,"Omnivore","Eutherian",0.058588
"68",1,2,"Mammal","Carnivora","Panthera leo",126533.333333333,1.34389777777778e-07,"Carnivore","Eutherian",0.0170047865481481
"1666",1,2,"Mammal","Carnivora","Panthera onca",68750,1e-07,"Carnivore","Eutherian",0.006875
"69",1,2,"Mammal","Carnivora","Panthera pardus",37119.2,6.53133304e-08,"Carnivore","Eutherian",0.00242437857378368
"70",1,2,"Mammal","Carnivora","Panthera tigris",149775.280898876,5.97208449438202e-08,"Carnivore","Eutherian",0.00894470632697892
"1881",1,2,"Mammal","Carnivora","Panthera uncia",71700,1.2e-08,"Carnivore","Eutherian",0.0008604
"1882",1,9,"Mammal","Carnivora","Poiana richardsoni",600,1.8e-06,"Omnivore","Eutherian",0.00108
"190",1,9,"Mammal","Carnivora","Potos flavus",2490,1.94e-05,"Omnivore","Eutherian",0.048306
"191",1,9,"Mammal","Carnivora","Procyon cancrivorus",8575,5.45e-06,"Omnivore","Eutherian",0.04673375
"192",1,9,"Mammal","Carnivora","Procyon lotor",9775,6.7e-06,"Omnivore","Eutherian",0.0654925
"1889",1,2,"Mammal","Carnivora","Profelis aurata",10000,2e-07,"Carnivore","Eutherian",0.002
"1890",1,2,"Mammal","Carnivora","Taxidea taxus",8620,2.2e-06,"Carnivore","Eutherian",0.018964
"1891",1,2,"Mammal","Carnivora","Ursus americanus",153000,8.18e-07,"Carnivore","Eutherian",0.125154
"71",1,2,"Mammal","Carnivora","Ursus arctos",194333.333333333,6.76666666666667e-08,"Carnivore","Eutherian",0.0131498888888889
"1895",1,2,"Mammal","Carnivora","Ursus maritimus",386000,1.62e-08,"Carnivore","Eutherian",0.0062532
"72",1,2,"Mammal","Carnivora","Ursus ursinus",1e+05,1.44772e-07,"Carnivore","Eutherian",0.0144772
"1944",1,2,"Mammal","Carnivora","Vulpes vulpes",5440,1.6e-06,"Carnivore","Eutherian",0.008704
"1945",1,2,"Mammal","Dasyuromorphia","Antechinus stuartii",35,0.001689,"Carnivore","Marsupial",0.059115
"1946",1,2,"Mammal","Dasyuromorphia","Sarrophilus harrisii",5700,1.16e-05,"Carnivore","Marsupial",0.06612
"1947",1,2,"Mammal","Dasyuromorphia","Sminthopsis crassicaudata",15,5e-05,"Carnivore","Marsupial",0.00075
"1948",1,9,"Mammal","Didelphimorphia","Caluromys derbianus",1300,1.34e-05,"Omnivore","Marsupial",0.01742
"199",1,9,"Mammal","Didelphimorphia","Caluromys philander",300,0.0001049,"Omnivore","Marsupial",0.03147
"1951",1,9,"Mammal","Didelphimorphia","Caluromysiops irrupta",250,1e-05,"Omnivore","Marsupial",0.0025
"200",1,9,"Mammal","Didelphimorphia","Didelphis marsupialis",1055.5,6.215e-05,"Omnivore","Marsupial",0.065599325
"1954",1,9,"Mammal","Didelphimorphia","Marmosa cinera",127,2.5e-05,"Omnivore","Marsupial",0.003175
"1955",1,9,"Mammal","Didelphimorphia","Marmosa cinerea",80,5.1e-05,"Omnivore","Marsupial",0.00408
"1956",1,9,"Mammal","Didelphimorphia","Marmosa fuscata",60,0.000113,"Omnivore","Marsupial",0.00678
"201",1,9,"Mammal","Didelphimorphia","Marmosa murina",45,5.3e-05,"Omnivore","Marsupial",0.002385
"1959",1,9,"Mammal","Didelphimorphia","Marmosa noctivaga",60,1.5e-05,"Omnivore","Marsupial",9e-04
"202",1,9,"Mammal","Didelphimorphia","Marmosa robinsoni",44.5,0.00015175,"Omnivore","Marsupial",0.006752875
"1962",1,9,"Mammal","Didelphimorphia","Metachirus nudicaudata",400,8.3e-06,"Omnivore","Marsupial",0.00332
"1963",1,9,"Mammal","Didelphimorphia","Monodelphis brevicaudata",80,6.3e-05,"Omnivore","Marsupial",0.00504
"203",1,9,"Mammal","Didelphimorphia","Philander opossum",369,8.395e-05,"Omnivore","Marsupial",0.03097755
"1966",1,1,"Mammal","Diprotodontia","Lasiorhinus latifrons",25000,2.08e-05,"Herbivore","Marsupial",0.52
"1967",1,1,"Mammal","Diprotodontia","Macropus agilis",10000,2e-05,"Herbivore","Marsupial",0.2
"1968",1,1,"Mammal","Diprotodontia","Macropus parryi",12000,4.7e-05,"Herbivore","Marsupial",0.564
"1969",1,1,"Mammal","Diprotodontia","Macropus robustus",31900,1.5e-05,"Herbivore","Marsupial",0.4785
"1970",1,1,"Mammal","Diprotodontia","Macropus rufus",41400,7e-07,"Herbivore","Marsupial",0.02898
"1971",1,1,"Mammal","Diprotodontia","Petauroides volans",1250,8.3e-05,"Herbivore","Marsupial",0.10375
"1972",1,1,"Mammal","Diprotodontia","Phascolarctos cinereus",11000,1e-04,"Herbivore","Marsupial",1.1
"1973",1,1,"Mammal","Diprotodontia","Potorous tridactylus",1360,1.96e-05,"Herbivore","Marsupial",0.026656
"1974",1,1,"Mammal","Diprotodontia","Pseudocheirus peregrinus",872,0.000125,"Herbivore","Marsupial",0.109
"1975",1,1,"Mammal","Diprotodontia","Setonix brachyurus",3000,0.000511,"Herbivore","Marsupial",1.533
"1976",1,1,"Mammal","Diprotodontia","Trichosurus caninus",2800,0.00015,"Herbivore","Marsupial",0.42
"1977",1,1,"Mammal","Diprotodontia","Trichosurus vulpecula",2080,7.5e-05,"Herbivore","Marsupial",0.156
"1978",1,1,"Mammal","Diprotodontia","Vombatus ursinus",22500,1.1e-05,"Herbivore","Marsupial",0.2475
"1979",1,2,"Mammal","Eulipotyphla","Blarina brevicauda",17.8,0.000621,"Carnivore","Eutherian",0.0110538
"1980",1,2,"Mammal","Eulipotyphla","Crocidura bicolor",3.8,0.000153,"Carnivore","Eutherian",0.0005814
"1981",1,2,"Mammal","Eulipotyphla","Crocidura crossei",7,0.0001394,"Carnivore","Eutherian",0.0009758
"1982",1,2,"Mammal","Eulipotyphla","Crocidura hildegardeae",10.6,0.000392,"Carnivore","Eutherian",0.0041552
"1983",1,2,"Mammal","Eulipotyphla","Crocidura occidentalis",33.4,0.0014,"Carnivore","Eutherian",0.04676
"1984",1,2,"Mammal","Eulipotyphla","Crocidura poensis",17,3.28e-05,"Carnivore","Eutherian",0.0005576
"1985",1,2,"Mammal","Eulipotyphla","Crocidura sp.",17,0.0001364,"Carnivore","Eutherian",0.0023188
"1986",1,2,"Mammal","Eulipotyphla","Erinaceus europeaus",805,0.001046,"Carnivore","Eutherian",0.84203
"1987",1,2,"Mammal","Eulipotyphla","Sorex araneus",9.3,8.17e-05,"Carnivore","Eutherian",0.00075981
"1988",1,2,"Mammal","Eulipotyphla","Sorex arcticus",8,0.000564,"Carnivore","Eutherian",0.004512
"1989",1,2,"Mammal","Eulipotyphla","Sorex cinereus",4.2,0.001207,"Carnivore","Eutherian",0.0050694
