rmax,interaction_strength_flux
0.694,2.126666666666667
0.695,2.133333333333333
0.696,2.1399999999999997
0.697,2.1466666666666665
0.698,2.1533333333333338
0.699,2.1600000000000006
0.7,2.1666666666666665
0.701,2.1733333333333333
0.702,2.18
0.703,2.186666666666667
0.704,2.193333333333334
0.705,2.1999999999999997
0.706,2.2066666666666666
0.707,2.2133333333333334
0.708,2.22
0.709,2.226666666666667
0.71,2.233333333333333
0.711,2.2399999999999998
0.712,2.2466666666666666
0.713,2.253333333333334
0.714,2.2600000000000007
0.715,2.2666666666666666
0.716,2.2733333333333334
0.717,2.2800000000000002
0.718,2.286666666666667
0.719,2.293333333333334
0.72,2.3
0.721,2.3066666666666666
0.722,2.3133333333333335
0.723,2.3200000000000003
0.724,2.326666666666667
0.725,2.333333333333333
0.726,2.34
0.727,2.3466666666666667
0.728,2.353333333333334
0.729,2.3600000000000008
0.73,2.3666666666666667
0.731,2.3733333333333335
0.732,2.3800000000000003
0.733,2.386666666666667
0.734,2.393333333333334
0.735,2.4
0.736,2.4066666666666667
0.737,2.4133333333333336
0.738,2.4200000000000004
0.739,2.426666666666667
0.74,2.433333333333333
0.741,2.44
0.742,2.4466666666666668
0.743,2.453333333333334
0.744,2.460000000000001
0.745,2.466666666666667
0.746,2.4733333333333336
0.747,2.4800000000000004
0.748,2.4866666666666672
0.749,2.493333333333334
0.75,2.500000000000001
0.751,2.506666666666667
0.752,2.5133333333333336
0.753,2.5200000000000005
0.754,2.5266666666666673
0.755,2.533333333333334
0.756,2.54
0.757,2.5466666666666673
0.758,2.553333333333334
0.759,2.560000000000001
0.76,2.5666666666666678
0.761,2.5733333333333337
0.762,2.5800000000000005
0.763,2.5866666666666673
0.764,2.593333333333334
0.765,2.600000000000001
0.766,2.606666666666667
0.767,2.6133333333333337
0.768,2.6200000000000006
0.769,2.6266666666666674
0.77,2.633333333333334
0.771,2.64
0.772,2.6466666666666674
0.773,2.653333333333334
0.774,2.660000000000001
0.775,2.666666666666668
0.776,2.673333333333334
0.777,2.6800000000000006
0.778,2.6866666666666674
0.779,2.6933333333333342
0.78,2.700000000000001
0.781,2.706666666666667
0.782,2.713333333333334
0.783,2.7200000000000006
0.784,2.7266666666666675
0.785,2.7333333333333343
0.786,2.74
0.787,2.7466666666666675
0.788,2.7533333333333343
0.789,2.760000000000001
0.79,2.766666666666668
0.791,2.773333333333334
0.792,2.7800000000000007
0.793,2.7866666666666675
0.794,2.7933333333333343
0.795,2.800000000000001
0.796,2.806666666666667
0.797,2.813333333333334
0.798,2.8200000000000007
0.799,2.8266666666666675
0.8,2.8333333333333344
0.801,2.8400000000000003
0.802,2.8466666666666676
0.803,2.8533333333333344
0.804,2.860000000000001
0.805,2.866666666666668
0.806,2.873333333333334
0.807,2.880000000000001
0.808,2.8866666666666676
0.809,2.8933333333333344
0.81,2.9000000000000012
0.811,2.906666666666667
0.812,2.913333333333334
0.813,2.92
0.814,2.9266666666666667
0.815,2.9333333333333336
0.816,2.9400000000000004
0.817,2.9466666666666663
0.818,2.9533333333333336
0.819,2.9600000000000004
0.82,2.9666666666666672
0.821,2.973333333333334
0.822,2.98
0.823,2.986666666666667
0.824,2.9933333333333336
0.825,3.0000000000000004
0.826,3.0066666666666673
0.827,3.013333333333333
0.828,3.02
0.829,3.026666666666667
0.83,3.0333333333333337
0.831,3.0400000000000005
0.832,3.0466666666666664
0.833,3.0533333333333337
0.834,3.0600000000000005
0.835,3.0666666666666673
0.836,3.073333333333334
0.837,3.08
0.838,3.086666666666667
0.839,3.0933333333333337
0.84,3.1000000000000005
0.841,3.1066666666666674
0.842,3.1133333333333333
0.843,3.12
0.844,3.126666666666667
0.845,3.1333333333333337
0.846,3.1400000000000006
0.847,3.1466666666666665
0.848,3.1533333333333338
0.849,3.1600000000000006
0.85,3.1666666666666674
0.851,3.1733333333333342
0.852,3.18
0.853,3.186666666666667
0.854,3.193333333333334
0.855,3.2000000000000006
0.856,3.2066666666666674
0.857,3.2133333333333334
0.858,3.22
